dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.012901,14.803302,0.003499,0.139940,2.798804,55.976076,0.000349
0.050000,5.018109,14.803302,0.008706,0.104159,-0.715633,-70.288731,6.283016
0.050000,5.051001,14.803277,0.041599,0.657842,11.073663,235.785914,6.281852
0.050000,5.109460,14.803139,0.100057,1.169171,10.226581,-16.941632,6.279798
0.050000,5.200758,14.802684,0.191357,1.825992,13.136418,58.196724,6.276622
0.050000,5.332134,14.801526,0.322738,2.627625,16.032663,57.924912,6.272124
0.050000,5.510769,14.799013,0.501390,3.573045,18.908395,57.514642,6.266144
0.050000,5.743759,14.794156,0.734431,4.660810,21.755300,56.938090,6.258583
0.050000,6.034451,14.785676,1.025247,5.816327,23.110356,27.101132,6.249532
0.050000,6.382452,14.772153,1.373510,6.965261,22.978667,-2.633778,6.239263
0.050000,6.787264,14.752069,1.778820,8.106202,22.818822,-3.196907,6.228107
0.050000,7.248292,14.723912,2.240707,9.237742,22.630800,-3.760433,6.216454
0.050000,7.761269,14.686571,2.755041,10.286682,20.978803,-33.039940,6.204826
0.050000,8.318359,14.639662,3.314103,11.181237,17.891105,-61.753963,6.193821
0.050000,8.911834,14.583443,3.910235,11.922637,14.827997,-61.262161,6.183986
0.050000,9.534116,14.518820,4.535863,12.512560,11.798458,-60.590791,6.175798
0.050000,10.177806,14.447298,5.183515,12.953031,8.809417,-59.780805,6.169652
0.050000,10.835698,14.370875,5.845831,13.246320,5.865778,-58.872798,6.165848
0.050000,11.500769,14.291904,6.515573,13.394859,2.970775,-57.900051,6.164583
0.050000,12.163374,14.213255,7.182830,13.345139,-0.994393,-79.303353,6.165940
0.050000,12.814050,14.137764,7.837871,13.100806,-4.886659,-77.845334,6.169852
0.050000,13.446227,14.067688,8.473920,12.720984,-7.596434,-54.195488,6.176134
0.050000,14.053396,14.004890,9.084327,12.208143,-10.256828,-53.207883,6.184500
0.050000,14.629083,13.950717,9.662557,11.564605,-12.870755,-52.278541,6.194567
0.050000,15.166843,13.905913,10.202180,10.792463,-15.442840,-51.441707,6.205866
0.050000,15.660254,13.870597,10.696854,9.893476,-17.979740,-50.737986,6.217856
0.050000,16.102920,13.844275,11.140302,8.868963,-20.490264,-50.210479,6.229941
0.050000,16.491180,13.825815,11.529001,7.773972,-21.899814,-28.191017,6.241576
0.050000,16.824731,13.813707,11.862771,6.675407,-21.971299,-1.429682,6.252344
0.050000,17.103891,13.806419,12.142026,5.585093,-21.806280,3.300369,6.261905
0.050000,17.328938,13.802531,12.367107,4.501613,-21.669604,2.733532,6.269974
0.050000,17.502801,13.800792,12.540978,3.477432,-20.483627,23.719531,6.276429
0.050000,17.631693,13.800237,12.669872,2.577865,-17.991329,49.845963,6.281337
0.050000,17.722417,13.800228,12.760596,1.814485,-15.267613,54.474317,0.001670
0.050000,17.781727,13.800396,12.819906,1.186198,-12.565730,54.037658,0.003998
0.050000,17.816340,13.800558,12.854519,0.692268,-9.878604,53.742522,0.005366
0.050000,17.832951,13.800653,12.871131,0.332237,-7.200628,53.559521,0.006026
0.050000,17.838244,13.800685,12.876424,0.105861,-4.527506,53.462436,0.006237
0.050000,17.838896,13.800689,12.877076,0.013033,-1.856568,53.418755,0.006262
0.050000,17.838896,13.800689,12.877076,0.000000,-0.260657,31.918224,0.006262
