dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.013323,13.594969,0.003499,0.139940,2.798804,55.976076,0.000349
0.050000,5.017904,13.594968,0.017493,0.419821,5.597608,55.976076,6.283016
0.050000,5.049391,13.594945,0.048979,0.839641,8.396411,55.976076,6.281852
0.050000,5.105367,13.594813,0.104955,1.399402,11.195215,55.976076,6.279798
0.050000,5.192828,13.594377,0.192418,2.099103,13.994019,55.976076,6.276622
0.050000,5.318769,13.593266,0.318364,2.938744,16.792823,55.976076,6.272124
0.050000,5.490179,13.590855,0.489791,3.918325,19.591627,55.976076,6.266144
0.050000,5.714034,13.586188,0.713695,5.037847,22.390430,55.976076,6.258583
0.050000,5.993794,13.578027,0.993575,6.157368,22.390430,0.000000,6.249532
0.050000,6.329396,13.564985,1.329432,7.276890,22.390430,0.000000,6.239263
0.050000,6.720745,13.545568,1.721264,8.396411,22.390430,0.000000,6.228107
0.050000,7.167718,13.518268,2.169073,9.515933,22.390430,0.000000,6.216454
0.050000,7.666681,13.481945,2.669359,10.495514,19.591627,-55.976076,6.204826
0.050000,8.210520,13.436150,3.215126,11.335155,16.792823,-55.976076,6.193821
0.050000,8.792164,13.381050,3.799376,12.034856,13.994019,-55.976076,6.183986
0.050000,9.404606,13.317448,4.415113,12.594617,11.195215,-55.976076,6.175798
0.050000,10.040915,13.246744,5.055339,13.014438,8.396411,-55.976076,6.169652
0.050000,10.694240,13.170850,5.713058,13.294318,5.597608,-55.976076,6.165848
0.050000,11.357793,13.092059,6.381273,13.434258,2.798804,-55.976076,6.164583
0.050000,12.022028,13.013217,7.050170,13.321637,-2.252435,-101.024771,6.165940
0.050000,12.677399,12.937182,7.709938,13.069075,-5.051239,-55.976076,6.169852
0.050000,13.317121,12.866272,8.353579,12.676572,-7.850042,-55.976076,6.176134
0.050000,13.934345,12.802436,8.974097,12.144130,-10.648846,-55.976076,6.184500
0.050000,14.522142,12.747125,9.564494,11.471748,-13.447650,-55.976076,6.194567
0.050000,15.073509,12.701190,10.117773,10.659425,-16.246454,-55.976076,6.205866
0.050000,15.581371,12.664841,10.626937,9.707162,-19.045258,-55.976076,6.217856
0.050000,16.038614,12.637654,11.084991,8.614959,-21.844061,-55.976076,6.229941
0.050000,16.440917,12.618528,11.487750,7.495438,-22.390430,-10.927381,6.241576
0.050000,16.787471,12.605948,11.834534,6.375916,-22.390430,-0.000000,6.252344
0.050000,17.078178,12.598359,12.125342,5.256394,-22.390430,0.000000,6.261905
0.050000,17.312974,12.594303,12.360174,4.136873,-22.390430,0.000000,6.269974
0.050000,17.494636,12.592487,12.541845,3.129973,-20.137996,45.048695,6.276429
0.050000,17.629460,12.591906,12.676670,2.263014,-17.339192,55.976076,6.281337
0.050000,17.724435,12.591897,12.771645,1.535994,-14.540388,55.976076,0.001670
0.050000,17.786557,12.592073,12.833767,0.948915,-11.741584,55.976076,0.003998
0.050000,17.822824,12.592242,12.870035,0.501776,-8.942780,55.976076,0.005366
0.050000,17.840233,12.592342,12.887444,0.194577,-6.143977,55.976076,0.006026
0.050000,17.845780,12.592376,12.892991,0.027318,-3.345173,55.976076,0.006237
0.050000,17.846463,12.592380,12.893674,0.000000,-0.546369,55.976076,0.006262
0.050000,17.846463,12.592380,12.893674,0.000000,0.000000,10.927381,0.006262
