dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.013745,12.386636,0.003499,0.139940,2.798804,55.976076,0.000349
0.050000,5.017699,12.386635,0.007453,0.079086,-1.217086,-80.317787,6.283016
0.050000,5.047780,12.386613,0.037534,0.601619,10.450667,233.355047,6.281852
0.050000,5.101274,12.386486,0.091027,1.069871,9.365041,-21.712516,6.279798
0.050000,5.184898,12.386070,0.174653,1.672511,12.052799,53.755163,6.276622
0.050000,5.305404,12.385007,0.295164,2.410219,14.754149,54.026994,6.272124
0.050000,5.469589,12.382698,0.459364,3.284013,17.475884,54.434709,6.266144
0.050000,5.684309,12.378221,0.674132,4.295342,20.226584,55.013988,6.258583
0.050000,5.953137,12.370378,0.943074,5.378848,21.670124,28.870812,6.249532
0.050000,6.276340,12.357817,1.266521,6.468938,21.801802,2.633557,6.239263
0.050000,6.654226,12.339067,1.644872,7.567018,21.961594,3.195848,6.228107
0.050000,7.087144,12.312624,2.078597,8.674501,22.149649,3.761090,6.216454
0.050000,7.572094,12.277320,2.564829,9.724652,21.003028,-22.932411,6.204826
0.050000,8.102682,12.232639,3.097296,10.649322,18.493397,-50.192626,6.193821
0.050000,8.672494,12.178657,3.669660,11.447280,15.959171,-50.684525,6.183986
0.050000,9.275096,12.116075,4.275502,12.116844,13.391279,-51.357831,6.175798
0.050000,9.904024,12.046190,4.908301,12.655983,10.782782,-52.169952,6.169652
0.050000,10.552782,11.970826,5.561422,13.062420,8.128733,-53.080967,6.165848
0.050000,11.214817,11.892214,6.228108,13.333716,5.425919,-54.056292,6.164583
0.050000,11.880681,11.813180,6.898645,13.410754,1.540756,-77.703255,6.165940
0.050000,12.540748,11.736601,7.563140,13.289888,-2.417310,-79.161315,6.169852
0.050000,13.188015,11.664855,8.214371,13.024620,-5.305359,-57.760981,6.176134
0.050000,13.815293,11.599982,8.844995,12.612487,-8.242665,-58.746115,6.184500
0.050000,14.415202,11.543533,9.447554,12.051173,-11.226288,-59.672472,6.194567
0.050000,14.980175,11.496467,10.014483,11.338591,-14.251627,-60.506774,6.205866
0.050000,15.502488,11.459085,10.538133,10.472989,-17.312056,-61.208590,6.217856
0.050000,15.974307,11.431033,11.010785,9.453046,-20.398851,-61.735884,6.229941
0.050000,16.390654,11.411240,11.427602,8.336334,-22.334250,-38.707994,6.241576
0.050000,16.750211,11.398190,11.787396,7.195879,-22.809101,-9.497019,6.252344
0.050000,17.052466,11.390299,12.089754,6.047172,-22.974141,-3.300791,6.261905
0.050000,17.297011,11.386075,12.334336,4.891629,-23.110860,-2.734384,6.269974
0.050000,17.486472,11.384181,12.523806,3.789402,-22.044538,21.326441,6.276429
0.050000,17.627226,11.383574,12.664562,2.815116,-19.485713,51.176500,6.281337
0.050000,17.726452,11.383565,12.763788,1.984520,-16.611919,57.475870,0.001670
0.050000,17.791388,11.383749,12.828723,1.298710,-13.716193,57.914533,0.003998
0.050000,17.829308,11.383926,12.866644,0.758424,-10.805735,58.209158,0.005366
0.050000,17.847514,11.384030,12.884850,0.364115,-7.886168,58.391334,0.006026
0.050000,17.853316,11.384066,12.890652,0.116036,-4.961577,58.491823,0.006237
0.050000,17.854030,11.384070,12.891366,0.014286,-2.035005,58.531434,0.006262
0.050000,17.854030,11.384070,12.891366,0.000000,-0.285723,34.985655,0.006262
