dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.147358,14.803302,0.003739,0.149554,2.991072,59.821444,6.282891
0.050000,5.152951,14.803303,0.009332,0.111867,-0.753728,-74.896000,0.000209
0.050000,5.185238,14.803328,0.041619,0.645731,10.677275,228.620053,0.001337
0.050000,5.242653,14.803462,0.099035,1.148316,10.051702,-12.511449,0.003327
0.050000,5.332409,14.803899,0.188792,1.795144,12.936557,57.697102,0.006401
0.050000,5.461752,14.805009,0.318139,2.586939,15.835900,57.986853,0.010747
0.050000,5.637975,14.807413,0.494379,3.524797,18.757159,58.425168,0.016509
0.050000,5.868441,14.812061,0.724891,4.610258,21.709224,59.041310,0.023769
0.050000,6.156985,14.820181,1.013549,5.773159,23.258026,30.976037,0.032416
0.050000,6.503896,14.833143,1.360703,6.943069,23.398195,2.803383,0.042160
0.050000,6.909512,14.852419,1.766776,8.121464,23.567904,3.394183,0.052650
0.050000,7.370580,14.879250,2.228625,9.236972,22.310155,-25.154980,0.063393
0.050000,7.880219,14.914333,2.739469,10.216889,19.598346,-54.236175,0.073813
0.050000,8.431514,14.957833,3.292478,11.060184,16.865889,-54.649157,0.083375
0.050000,9.017523,15.009332,3.880745,11.765342,14.103153,-55.254708,0.091606
0.050000,9.631264,15.067837,4.497269,12.330466,11.302497,-56.013132,0.098112
0.050000,10.265713,15.131841,5.134938,12.753381,8.458292,-56.884101,0.102590
0.050000,10.913784,15.199423,5.786524,13.031719,5.566770,-57.830426,0.104834
0.050000,11.568189,15.268378,6.444551,13.160550,2.576606,-59.803285,0.104739
0.050000,12.221524,15.336385,7.101416,13.137301,-0.464982,-60.831761,0.102310
0.050000,12.866369,15.401194,7.749510,12.961878,-3.508461,-60.869577,0.097654
0.050000,13.495142,15.460786,8.381101,12.631808,-6.601388,-61.858544,0.090982
0.050000,14.100085,15.513520,8.988337,12.144736,-9.741447,-62.801182,0.082602
0.050000,14.673266,15.558261,9.563262,11.498496,-12.924800,-63.667050,0.072913
0.050000,15.206599,15.594461,10.097823,10.691207,-16.145767,-64.419337,0.062389
0.050000,15.691877,15.622190,10.583891,9.721374,-19.396665,-65.017967,0.051569
0.050000,16.120940,15.642102,11.013417,8.590508,-22.617322,-64.413140,0.041029
0.050000,16.489474,15.655448,11.382193,7.375518,-24.299808,-33.649713,0.031258
0.050000,16.796967,15.663742,11.689797,6.152092,-24.468508,-3.374010,0.022604
0.050000,17.043135,15.668420,11.936010,4.924247,-24.556907,-1.767977,0.015352
0.050000,17.231677,15.670776,12.124566,3.771129,-23.062359,29.890964,0.009604
0.050000,17.370153,15.671807,12.263046,2.769598,-20.030625,60.634681,0.005278
0.050000,17.466211,15.672168,12.359105,1.921181,-16.968329,61.245920,0.002224
0.050000,17.527559,15.672244,12.420453,1.226959,-13.884447,61.677640,0.000252
0.050000,17.561942,15.672234,12.454835,0.687648,-10.786225,61.964423,6.282324
0.050000,17.577126,15.672217,12.470019,0.303684,-7.679283,62.138851,6.281831
0.050000,17.580890,15.672211,12.473784,0.075289,-4.567897,62.227724,6.281708
0.050000,17.580890,15.672211,12.473784,0.000000,-1.505776,61.242405,6.281708
