dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.147002,13.594969,0.003739,0.149554,2.991072,59.821444,6.282891
0.050000,5.153203,13.594970,0.018694,0.448661,5.982144,59.821444,0.000209
0.050000,5.186853,13.594996,0.052344,0.897322,8.973217,59.821444,0.001337
0.050000,5.246674,13.595135,0.112165,1.495536,11.964289,59.821444,0.003327
0.050000,5.340144,13.595590,0.205636,2.243304,14.955361,59.821444,0.006401
0.050000,5.474737,13.596745,0.340234,3.140626,17.946433,59.821444,0.010747
0.050000,5.657923,13.599244,0.523438,4.187501,20.937505,59.821444,0.016509
0.050000,5.897159,13.604069,0.762723,5.383930,23.928578,59.821444,0.023769
0.050000,6.196147,13.612483,1.061831,6.580359,23.928578,-0.000000,0.032416
0.050000,6.554824,13.625884,1.420759,7.776788,23.928578,0.000000,0.042160
0.050000,6.973100,13.645760,1.839509,8.973217,23.928578,-0.000000,0.052650
0.050000,7.447129,13.673343,2.314342,10.020092,20.937505,-59.821444,0.063393
0.050000,7.969329,13.709290,2.837780,10.917414,17.946433,-59.821444,0.073813
0.050000,8.532142,13.753697,3.402345,11.665182,14.955361,-59.821444,0.083375
0.050000,9.128058,13.806065,4.000559,12.263396,11.964289,-59.821444,0.091606
0.050000,9.749626,13.865315,4.624945,12.712057,8.973217,-59.821444,0.098112
0.050000,10.389458,13.929861,5.268026,13.011164,5.982144,-59.821444,0.102590
0.050000,11.040226,13.997724,5.922323,13.160718,2.991072,-59.821444,0.104834
0.050000,11.694518,14.066667,6.580236,13.155822,-0.097914,-61.779715,0.104739
0.050000,12.344933,14.134370,7.234166,13.001373,-3.088986,-59.821444,0.102310
0.050000,12.984181,14.198618,7.876635,12.697370,-6.080058,-59.821444,0.097654
0.050000,13.604927,14.257451,8.500164,12.243813,-9.071130,-59.821444,0.090982
0.050000,14.199782,14.309307,9.097277,11.640703,-12.062202,-59.821444,0.082602
0.050000,14.761291,14.353138,9.660496,10.888039,-15.053275,-59.821444,0.072913
0.050000,15.281937,14.388479,10.182342,9.985822,-18.044347,-59.821444,0.062389
0.050000,15.754161,14.415463,10.655339,8.934051,-21.035419,-59.821444,0.051569
0.050000,16.170503,14.434785,11.072131,7.737622,-23.928578,-57.863173,0.041029
0.050000,16.527238,14.447705,11.429102,6.541193,-23.928578,0.000000,0.031258
0.050000,16.824278,14.455718,11.726250,5.344765,-23.928578,0.000000,0.022604
0.050000,17.061684,14.460230,11.963700,4.153231,-23.830664,1.958271,0.015352
0.050000,17.243282,14.462498,12.145312,3.111252,-20.839592,59.821444,0.009604
0.050000,17.376530,14.463491,12.278564,2.218826,-17.848520,59.821444,0.005278
0.050000,17.468899,14.463838,12.370934,1.475953,-14.857447,59.821444,0.002224
0.050000,17.527863,14.463911,12.429899,0.882635,-11.866375,59.821444,0.000252
0.050000,17.560901,14.463901,12.462936,0.438869,-8.875303,59.821444,6.282324
0.050000,17.575489,14.463884,12.477524,0.144658,-5.884231,59.821444,6.281831
0.050000,17.579106,14.463879,12.481141,0.000000,-2.893159,59.821444,6.281708
0.050000,17.579106,14.463879,12.481141,0.000000,0.000000,57.863173,6.281708
