dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.146646,12.386636,0.003739,0.149554,2.991072,59.821444,6.282891
0.050000,5.153455,12.386636,0.010548,0.136189,-0.267287,-65.167177,0.000209
0.050000,5.188468,12.386663,0.045561,0.700251,11.281229,230.970305,0.001337
0.050000,5.250694,12.386808,0.107788,1.244540,10.885792,-7.908741,0.003327
0.050000,5.347878,12.387282,0.204973,1.943696,13.983119,61.946546,0.006401
0.050000,5.487722,12.388482,0.344822,2.796986,17.065798,61.653593,0.010747
0.050000,5.677870,12.391076,0.534988,3.803319,20.126658,61.217186,0.016509
0.050000,5.925878,12.396077,0.783046,4.961152,23.156655,60.599945,0.023769
0.050000,6.235310,12.404784,1.092600,6.191092,24.598801,28.842920,0.032416
0.050000,6.605752,12.418624,1.463301,7.414020,24.458573,-2.804560,0.042160
0.050000,7.036689,12.439101,1.894724,8.628463,24.288851,-3.394432,0.052650
0.050000,7.523678,12.467437,2.382537,9.756245,22.555632,-34.664392,0.063393
0.050000,8.058438,12.504247,2.918563,10.720521,19.285526,-65.402115,0.073813
0.050000,8.632770,12.549561,3.494679,11.522325,16.036083,-64.988864,0.083375
0.050000,9.238594,12.602798,4.102837,12.163168,12.816867,-64.384324,0.091606
0.050000,9.867988,12.662793,4.735084,12.644942,9.635481,-63.627717,0.098112
0.050000,10.513204,12.727880,5.383575,12.969818,6.497518,-62.759253,0.102590
0.050000,11.166669,12.796024,6.040583,13.140157,3.406771,-61.814944,0.104834
0.050000,11.820846,12.864955,6.698383,13.155990,0.316661,-61.802207,0.104739
0.050000,12.468342,12.932355,7.349377,13.019888,-2.722046,-60.774127,0.102310
0.050000,13.101992,12.996042,7.986219,12.736842,-5.660918,-58.777444,0.097654
0.050000,13.714712,13.054115,8.601686,12.309329,-8.550263,-57.786898,0.090982
0.050000,14.299480,13.105094,9.188671,11.739711,-11.392359,-56.841915,0.082602
0.050000,14.849315,13.148015,9.740179,11.030158,-14.191045,-55.973723,0.072913
0.050000,15.357274,13.182496,10.249307,10.182557,-16.952019,-55.219490,0.062389
0.050000,15.816445,13.208736,10.709227,9.198406,-19.683022,-54.620056,0.051569
0.050000,16.220065,13.227469,11.113282,8.081088,-22.346366,-53.266871,0.041029
0.050000,16.565001,13.239962,11.458444,6.903240,-23.556953,-24.211751,0.031258
0.050000,16.851588,13.247693,11.745135,5.733828,-23.388250,3.374057,0.022604
0.050000,17.080233,13.252039,11.973821,4.573728,-23.202005,3.724906,0.015352
0.050000,17.254887,13.254221,12.148489,3.493345,-21.607662,31.886859,0.009604
0.050000,17.382907,13.255174,12.276512,2.560475,-18.657394,59.005360,0.005278
0.050000,17.471586,13.255507,12.365192,1.773596,-15.737571,58.396461,0.002224
0.050000,17.528168,13.255577,12.421774,1.131629,-12.839349,57.964441,0.000252
0.050000,17.559861,13.255568,12.453466,0.633855,-9.955477,57.677438,6.282324
0.050000,17.573853,13.255552,12.467459,0.279844,-7.080220,57.505151,6.281831
0.050000,17.577321,13.255547,12.470927,0.069371,-4.209468,57.415040,6.281708
0.050000,17.577321,13.255547,12.470927,0.000000,-1.387413,56.441091,6.281708
