dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.153847,11.384798,0.003593,0.143724,2.874472,57.489442,3.176869
0.050000,17.145144,11.384482,0.012303,0.174194,0.609407,-45.301299,3.178538
0.050000,17.117398,11.383404,0.040069,0.555321,7.622535,140.262558,3.182322
0.050000,17.068197,11.381231,0.089318,0.984980,8.593181,19.412911,3.189141
0.050000,16.991651,11.377173,0.165972,1.533088,10.962164,47.379673,3.200043
0.050000,16.882170,11.369881,0.275695,2.194456,13.227352,45.303745,3.216286
0.050000,16.734684,11.357141,0.423731,2.960716,15.325210,41.957178,3.239477
0.050000,16.544980,11.335461,0.614669,3.818771,17.161098,36.717760,3.271762
0.050000,16.313138,11.300029,0.849203,4.690668,17.437946,5.536948,3.315537
0.050000,16.043878,11.244807,1.124067,5.497293,16.132498,-26.108955,3.373496
0.050000,15.744112,11.162240,1.434997,6.218593,14.426002,-34.129928,3.449155
0.050000,15.425811,11.044390,1.774414,6.788340,11.394943,-60.621168,3.545795
0.050000,15.104577,10.884300,2.133329,7.178304,7.799262,-71.913632,3.664889
0.050000,14.794501,10.675775,2.507000,7.473406,5.902040,-37.944437,3.804405
0.050000,14.505923,10.412789,2.897434,7.808696,6.705808,16.075355,3.956748
0.050000,14.245791,10.089646,3.312272,8.296754,9.761155,61.106942,4.109687
0.050000,14.020097,9.704193,3.758939,8.933332,12.731572,59.408338,4.251181
0.050000,13.834294,9.261541,4.239005,9.601332,13.359998,12.568531,4.374013
0.050000,13.691648,8.775034,4.745993,10.139760,10.768557,-51.828831,4.476238
0.050000,13.546415,8.168506,5.369668,12.473485,46.674510,718.119062,4.471960
0.050000,13.412739,7.603475,5.950295,11.612557,-17.218576,-1277.861705,4.496043
0.050000,13.319386,7.108368,6.454127,10.076624,-30.718660,-270.001699,4.566004
0.050000,13.281297,6.697667,6.866590,8.249274,-36.546985,-116.566488,4.687902
0.050000,13.298281,6.387855,7.176868,6.205547,-40.874547,-86.551242,4.864746
0.050000,13.353577,6.173471,7.398267,4.427997,-35.551002,106.470890,5.079674
0.050000,13.433792,6.016691,7.574377,3.522185,-18.116231,348.695422,5.290770
0.050000,13.538121,5.884520,7.742762,3.367708,-3.089546,300.533707,5.462388
0.050000,13.659884,5.769956,7.909949,3.343735,-0.479468,52.201557,5.587503
0.050000,13.783818,5.675694,8.065657,3.114157,-4.591561,-82.241863,5.674589
0.050000,13.895590,5.602790,8.199103,2.668927,-8.904583,-86.260437,5.733915
0.050000,13.987378,5.549152,8.305414,2.126223,-10.854098,-38.990292,5.773841
0.050000,14.057065,5.511451,8.384646,1.584630,-10.831853,0.444887,5.800262
0.050000,14.105661,5.486494,8.439275,1.092596,-9.840675,19.823562,5.817073
0.050000,14.136040,5.471400,8.473198,0.678447,-8.282974,31.154035,5.826995
0.050000,14.152145,5.463549,8.491114,0.358332,-6.402305,37.613370,5.832087
0.050000,14.158475,5.460490,8.498145,0.140607,-4.354495,40.956209,5.834057
0.050000,14.159783,5.459860,8.499596,0.029028,-2.231598,42.457935,5.834462
0.050000,14.159783,5.459860,8.499596,0.000000,-0.580551,33.020935,5.834462
