dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.111231,12.592380,0.003593,0.143724,2.874472,57.489442,3.176869
0.050000,17.100511,12.591990,0.017965,0.431171,5.748944,57.489442,3.178538
0.050000,17.068198,12.590735,0.050303,0.862342,8.623416,57.489442,3.182322
0.050000,17.010765,12.588199,0.107793,1.437236,11.497888,57.489442,3.189141
0.050000,16.921063,12.583442,0.197620,2.155854,14.372361,57.489442,3.200043
0.050000,16.792000,12.574845,0.326971,3.018196,17.246833,57.489442,3.216286
0.050000,16.616596,12.559691,0.503033,4.024261,20.121305,57.489442,3.239477
0.050000,16.388136,12.533572,0.732990,5.174050,22.995777,57.489442,3.271762
0.050000,16.104014,12.490128,1.020438,6.323839,22.995777,-0.000000,3.315537
0.050000,15.766167,12.420795,1.365374,7.473628,22.995777,0.000000,3.373496
0.050000,15.378305,12.313872,1.767800,8.623416,22.995777,-0.000000,3.449155
0.050000,14.950591,12.155352,2.224123,9.629482,20.121305,-57.489442,3.545795
0.050000,14.500727,11.930930,2.727155,10.491823,17.246833,-57.489442,3.664889
0.050000,14.050970,11.628262,3.269712,11.210441,14.372361,-57.489442,3.804405
0.050000,13.626460,11.241410,3.844606,11.785336,11.497888,-57.489442,3.956748
0.050000,13.250357,10.774614,4.444653,12.216506,8.623416,-57.489442,4.109687
0.050000,12.938016,10.241938,5.062664,12.503954,5.748944,-57.489442,4.251181
0.050000,12.694479,9.662654,5.691455,12.647677,2.874472,-57.489442,4.374013
0.050000,12.516851,9.057739,6.322185,12.581526,-1.323030,-83.950045,4.476238
0.050000,12.372838,8.456234,6.946014,12.371651,-4.197502,-57.489442,4.471960
0.050000,12.232574,7.862859,7.555757,12.018052,-7.071974,-57.489442,4.496043
0.050000,12.123976,7.284619,8.144226,11.520730,-9.946446,-57.489442,4.566004
0.050000,12.073325,6.727252,8.704237,10.879684,-12.820919,-57.489442,4.687902
0.050000,12.103945,6.204468,9.228602,10.094914,-15.695391,-57.489442,4.864746
0.050000,12.225833,5.739579,9.710135,9.166421,-18.569863,-57.489442,5.079674
0.050000,12.421995,5.356133,10.141651,8.094204,-21.444335,-57.489442,5.290770
0.050000,12.653996,5.060874,10.517616,6.944415,-22.995777,-31.028840,5.462388
0.050000,12.885452,4.842419,10.836092,5.794627,-22.995777,-0.000000,5.587503
0.050000,13.092994,4.684315,11.097079,4.644838,-22.995777,0.000000,5.674589
0.050000,13.264761,4.572195,11.302230,3.561200,-21.672747,26.460603,5.733915
0.050000,13.398189,4.494199,11.456792,2.621287,-18.798275,57.489442,5.773841
0.050000,13.495951,4.441301,11.567952,1.825097,-15.923803,57.489442,5.800262
0.050000,13.562616,4.407063,11.642895,1.172630,-13.049330,57.489442,5.817073
0.050000,13.603732,4.386634,11.688808,0.663887,-10.174858,57.489442,5.826995
0.050000,13.625366,4.376086,11.712877,0.298868,-7.300386,57.489442,5.832087
0.050000,13.633840,4.371992,11.722288,0.077572,-4.425914,57.489442,5.834057
0.050000,13.635589,4.371150,11.724227,0.000000,-1.551442,57.489442,5.834462
0.050000,13.635589,4.371150,11.724227,0.000000,0.000000,31.028840,5.834462
