dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.068614,13.799961,0.003593,0.143724,2.874472,57.489442,3.176869
0.050000,17.055878,13.799499,0.016337,0.254886,2.223246,-13.024526,3.178538
0.050000,17.018998,13.798066,0.053246,0.738172,9.665728,148.849636,3.182322
0.050000,16.953332,13.795166,0.118976,1.314594,11.528438,37.254207,3.189141
0.050000,16.850476,13.789712,0.221976,2.060002,14.908150,67.594239,3.200043
0.050000,16.701829,13.779809,0.370952,2.979531,18.390577,69.648537,3.216286
0.050000,16.498508,13.762240,0.575031,4.081571,22.040813,73.004732,3.239477
0.050000,16.231292,13.731682,0.843989,5.379156,25.951688,78.217503,3.271762
0.050000,15.894890,13.680228,1.184303,6.806294,28.542770,51.821632,3.315537
0.050000,15.488456,13.596782,1.599215,8.298233,29.838787,25.920345,3.373496
0.050000,15.012498,13.465503,2.092946,9.874618,31.527694,33.778130,3.449155
0.050000,14.475370,13.266313,2.665818,11.457449,31.656611,2.578335,3.545795
0.050000,13.896877,12.977560,3.312373,12.931092,29.472869,-43.674822,3.664889
0.050000,13.307439,12.580748,4.022934,14.211220,25.602561,-77.406162,3.804405
0.050000,12.746996,12.070032,4.781173,15.164788,19.071352,-130.624181,3.956748
0.050000,12.254924,11.459582,5.565255,15.681639,10.337022,-174.686599,4.109687
0.050000,11.855935,10.779683,6.353579,15.766476,1.696735,-172.805749,4.251181
0.050000,11.554664,10.063767,7.130303,15.534485,-4.639819,-126.731081,4.374013
0.050000,11.342055,9.340443,7.884226,15.078460,-9.120502,-89.613659,4.476238
0.050000,11.199261,8.743962,8.497561,12.266702,-56.235148,-942.292914,4.471960
0.050000,11.052409,8.122243,9.136388,12.776536,10.196674,1328.636433,4.496043
0.050000,10.928566,7.460870,9.809256,13.457356,13.616404,68.394606,4.566004
0.050000,10.865354,6.756837,10.516121,14.137301,13.598903,-0.350025,4.687902
0.050000,10.909609,6.021080,11.253208,14.741728,12.088538,-30.207291,4.864746
0.050000,11.098088,5.305687,11.993013,14.796115,1.087740,-220.015959,5.079674
0.050000,11.410199,4.695575,12.678323,13.706202,-21.798260,-457.720006,5.290770
0.050000,11.769872,4.237228,13.260943,11.652397,-41.076102,-385.556836,5.462388
0.050000,12.111021,3.914882,13.730294,9.387007,-45.307804,-84.634043,5.587503
0.050000,12.402171,3.692936,14.096392,7.321975,-41.300628,80.143524,5.674589
0.050000,12.633932,3.541601,14.373188,5.535911,-35.721288,111.586794,5.733915
0.050000,12.809000,3.439247,14.575981,4.055868,-29.600860,122.408556,5.773841
0.050000,12.934836,3.371152,14.719061,2.861585,-23.885661,114.303996,5.800262
0.050000,13.019571,3.327632,14.814318,1.905152,-19.128664,95.139939,5.817073
0.050000,13.071424,3.301868,14.872219,1.158017,-14.942703,83.719220,5.826995
0.050000,13.098588,3.288624,14.902439,0.604401,-11.072319,77.407668,5.832087
0.050000,13.109206,3.283494,14.914231,0.235848,-7.371054,74.025302,5.834057
0.050000,13.111395,3.282439,14.916661,0.048599,-3.744990,72.521285,5.834462
0.050000,13.111395,3.282439,14.916661,0.000000,-0.971971,55.460374,5.834462
