dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.118252,3.383614,0.003520,0.140805,2.816103,56.322055,2.759540
0.050000,13.117961,3.383728,0.003833,0.006250,-2.691111,-110.144273,2.761437
0.050000,13.093323,3.393513,0.030343,0.530206,10.479134,263.404894,2.765717
0.050000,13.049473,3.410624,0.077413,0.941410,8.224082,-45.101046,2.773372
0.050000,12.980829,3.436634,0.150819,1.468117,10.534129,46.200942,2.785452
0.050000,12.881715,3.472516,0.256229,2.108197,12.801600,45.349426,2.803092
0.050000,12.746318,3.518337,0.399169,2.858794,15.011942,44.206843,2.827542
0.050000,12.568644,3.572873,0.585025,3.717116,17.166440,43.089959,2.860168
0.050000,12.345264,3.632455,0.816214,4.623780,18.133288,19.336953,2.901882
0.050000,12.075364,3.691189,1.092431,5.524350,18.011392,-2.437915,2.952931
0.050000,11.757941,3.741954,1.413887,6.429119,18.095384,1.679836,3.013137
0.050000,11.391759,3.776523,1.781697,7.356204,18.541697,8.926260,3.081574
0.050000,10.978215,3.785865,2.195347,8.272989,18.335700,-4.119938,3.155753
0.050000,10.521607,3.761750,2.652591,9.144886,17.437943,-17.955145,3.231713
0.050000,10.026594,3.698187,3.151669,9.981560,16.733484,-14.089165,3.305096
0.050000,9.498396,3.592220,3.690392,10.774451,15.857820,-17.513285,3.371899
0.050000,8.942710,3.444351,4.265415,11.500462,14.520222,-26.751960,3.429070
0.050000,8.365327,3.258449,4.871988,12.131470,12.620149,-38.001471,3.474718
0.050000,7.771701,3.041157,5.504133,12.642892,10.228448,-47.834017,3.507963
0.050000,7.169057,2.802023,6.152489,12.967125,6.484666,-74.875638,3.528576
0.050000,6.564269,2.551894,6.806960,13.089428,2.446051,-80.772289,3.536937
0.050000,5.961834,2.300941,7.459574,13.052279,-0.742982,-63.780667,3.533812
0.050000,5.366618,2.058881,8.102128,12.851068,-4.024223,-65.624815,3.520156
0.050000,4.784372,1.834480,8.726121,12.479859,-7.424185,-67.999243,3.497175
0.050000,4.222191,1.635035,9.322631,11.930210,-10.992964,-71.375587,3.466426
0.050000,3.688817,1.465833,9.882201,11.191388,-14.776448,-75.669670,3.429911
0.050000,3.194640,1.329643,10.394800,10.251985,-18.788056,-80.232160,3.390108
0.050000,2.748506,1.225823,10.852855,9.161108,-21.817534,-60.589570,3.349606
0.050000,2.355755,1.150774,11.252712,7.997137,-23.279432,-29.237959,3.310661
0.050000,2.020284,1.099556,11.592071,6.787170,-24.199333,-18.398023,3.275179
0.050000,1.745234,1.066821,11.869062,5.539820,-24.947009,-14.953504,3.244706
0.050000,1.529902,1.047204,12.085285,4.324469,-24.307006,12.800054,3.220060
0.050000,1.368661,1.036051,12.246911,3.232521,-21.838974,49.360631,3.201187
0.050000,1.254140,1.029997,12.361592,2.293620,-18.778023,61.219026,3.187582
0.050000,1.178550,1.026862,12.437247,1.513094,-15.610503,63.350409,3.178515
0.050000,1.133866,1.025332,12.481958,0.894213,-12.377639,64.657272,3.173124
0.050000,1.111935,1.024669,12.503899,0.438821,-9.107827,65.396244,3.170470
0.050000,1.104543,1.024459,12.511294,0.147904,-5.818339,65.789761,3.169574
0.050000,1.103453,1.024428,12.512384,0.021812,-2.521853,65.929721,3.169442
0.050000,1.103453,1.024428,12.512384,0.000000,-0.436232,41.712413,3.169442
