dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.568750,4.504828,0.003520,0.140805,2.816103,56.322055,2.759540
0.050000,13.566331,4.505795,0.017601,0.422415,5.632206,56.322055,2.761437
0.050000,13.536886,4.517488,0.049282,0.844831,8.448308,56.322055,2.765717
0.050000,13.484419,4.537962,0.105604,1.408051,11.264411,56.322055,2.773372
0.050000,13.402126,4.569144,0.193607,2.112077,14.080514,56.322055,2.785452
0.050000,13.282969,4.612281,0.320332,2.956908,16.896617,56.322055,2.803092
0.050000,13.119589,4.667571,0.492818,3.942544,19.712719,56.322055,2.827542
0.050000,12.904228,4.733671,0.718106,5.068985,22.528822,56.322055,2.860168
0.050000,12.632149,4.806238,0.999716,6.195426,22.528822,-0.000000,2.901882
0.050000,12.301980,4.878082,1.337649,7.321867,22.528822,0.000000,2.952931
0.050000,11.912732,4.940331,1.731903,8.448308,22.528822,0.000000,3.013137
0.050000,11.464239,4.982680,2.182480,9.574749,22.528822,0.000000,3.081574
0.050000,10.961105,4.994077,2.685858,10.560385,19.712719,-56.322055,3.155753
0.050000,10.412859,4.965180,3.234998,11.405216,16.896617,-56.322055,3.231713
0.050000,9.829906,4.890405,3.822859,12.109242,14.080514,-56.322055,3.305096
0.050000,9.222563,4.768649,4.442402,12.672462,11.264411,-56.322055,3.371899
0.050000,8.600107,4.603097,5.086586,13.094878,8.448308,-56.322055,3.429070
0.050000,7.970204,4.400354,5.748370,13.376488,5.632206,-56.322055,3.474718
0.050000,7.338841,4.169298,6.420714,13.517293,2.816103,-56.322055,3.507963
0.050000,6.713036,3.921002,7.093990,13.413719,-2.071494,-97.751937,3.528576
0.050000,6.098908,3.667022,7.758566,13.169339,-4.887597,-56.322055,3.536937
0.050000,5.499961,3.417517,8.407403,12.784154,-7.703700,-56.322055,3.533812
0.050000,4.920035,3.181660,9.033461,12.258164,-10.519802,-56.322055,3.520156
0.050000,4.363706,2.967224,9.629700,11.591368,-13.335905,-56.322055,3.497175
0.050000,3.836551,2.780178,10.189078,10.783768,-16.152008,-56.322055,3.466426
0.050000,3.345239,2.624291,10.704556,9.835362,-18.968111,-56.322055,3.429911
0.050000,2.897432,2.500855,11.169094,8.746152,-21.784213,-56.322055,3.390108
0.050000,2.498965,2.408108,11.578241,7.619711,-22.528822,-14.892173,3.349606
0.050000,2.152435,2.341879,11.931065,6.493270,-22.528822,-0.000000,3.310661
0.050000,1.859346,2.297124,12.227568,5.366828,-22.528822,0.000000,3.275179
0.050000,1.620859,2.268736,12.467748,4.240387,-22.528822,0.000000,3.244706
0.050000,1.435185,2.251819,12.654196,3.217521,-20.457328,41.429882,3.220060
0.050000,1.296693,2.242239,12.793020,2.335460,-17.641225,56.322055,3.201187
0.050000,1.198589,2.237053,12.891262,1.594204,-14.825122,56.322055,3.187582
0.050000,1.133946,2.234371,12.955961,0.993753,-12.009020,56.322055,3.178515
0.050000,1.095772,2.233064,12.994157,0.534107,-9.192917,56.322055,3.173124
0.050000,1.077047,2.232498,13.012891,0.215266,-6.376814,56.322055,3.170470
0.050000,1.070737,2.232319,13.019204,0.037230,-3.560711,56.322055,3.169574
0.050000,1.069806,2.232293,13.020135,0.000000,-0.744609,56.322055,3.169442
0.050000,1.069806,2.232293,13.020135,0.000000,0.000000,14.892173,3.169442
