dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,14.019247,5.626042,0.003520,0.140805,2.816103,56.322055,2.759540
0.050000,14.014701,5.627862,0.008417,0.097930,-0.857506,-73.472183,2.761437
0.050000,13.980450,5.641463,0.045270,0.737061,12.782627,272.802659,2.765717
0.050000,13.919366,5.665300,0.110840,1.311410,11.486980,-25.912932,2.773372
0.050000,13.823424,5.701653,0.213439,2.051967,14.811130,66.482994,2.785452
0.050000,13.684224,5.752046,0.361479,2.960800,18.176669,67.310795,2.803092
0.050000,13.492861,5.816805,0.563503,4.040482,21.593636,68.339338,2.827542
0.050000,13.239812,5.894470,0.828202,5.293982,25.070004,69.527344,2.860168
0.050000,12.919034,5.980021,1.160192,6.639808,26.916514,36.930201,2.901882
0.050000,12.528597,6.064974,1.559764,7.991443,27.032698,2.323687,2.952931
0.050000,12.067523,6.138709,2.026697,9.338656,26.944276,-1.768440,3.013137
0.050000,11.536718,6.188838,2.559864,10.663332,26.493511,-9.015301,3.081574
0.050000,10.943996,6.202290,3.152739,11.857498,23.883328,-52.203655,3.155753
0.050000,10.304110,6.168609,3.793510,12.815421,19.158446,-94.497640,3.231713
0.050000,9.633218,6.082623,4.469890,13.527610,14.243782,-98.293280,3.305096
0.050000,8.946730,5.945078,5.170022,14.002636,9.500514,-94.865371,3.371899
0.050000,8.257503,5.761843,5.883190,14.263359,5.214470,-85.720877,3.429070
0.050000,7.575081,5.542259,6.600070,14.337600,1.484827,-74.592853,3.474718
0.050000,6.905982,5.297439,7.312552,14.249647,-1.759072,-64.877983,3.507963
0.050000,6.257015,5.039981,8.010723,13.963411,-5.724721,-79.312986,3.528576
0.050000,5.633547,4.782149,8.685400,13.493553,-9.397155,-73.448684,3.536937
0.050000,5.038088,4.534094,9.330461,12.901205,-11.846959,-48.996060,3.533812
0.050000,4.473452,4.304439,9.940014,12.191058,-14.202933,-47.119483,3.520156
0.050000,3.943041,4.099969,10.508471,11.369150,-16.438162,-44.704580,3.497175
0.050000,3.450910,3.925320,11.030673,10.444037,-18.502258,-41.281918,3.466426
0.050000,3.001661,3.782748,11.502003,9.426601,-20.348731,-36.929467,3.429911
0.050000,2.600224,3.672067,11.918418,8.328300,-21.966018,-32.345750,3.390108
0.050000,2.249425,3.590394,12.278599,7.203630,-22.493402,-10.547670,3.349606
0.050000,1.949116,3.532984,12.584347,6.114947,-21.773662,14.394796,3.310661
0.050000,1.698408,3.494691,12.837962,5.072303,-20.852875,18.415752,3.275179
0.050000,1.496483,3.470651,13.041313,4.067018,-20.105701,14.943476,3.244706
0.050000,1.340468,3.456434,13.197975,3.133242,-18.675519,28.603638,3.220060
0.050000,1.224726,3.448427,13.313994,2.320376,-16.257330,48.363777,3.201187
0.050000,1.143039,3.444109,13.395795,1.636021,-13.687093,51.404730,3.187582
0.050000,1.089342,3.441881,13.449537,1.074854,-11.223335,49.275171,3.178515
0.050000,1.057678,3.440797,13.481220,0.633643,-8.824220,47.982303,3.173124
0.050000,1.042159,3.440328,13.496746,0.310535,-6.462163,47.241144,3.170470
0.050000,1.036931,3.440179,13.501977,0.104605,-4.118603,46.871181,3.169574
0.050000,1.036160,3.440158,13.502748,0.015424,-1.783624,46.699580,3.169442
0.050000,1.036160,3.440158,13.502748,0.000000,-0.308472,29.503041,3.169442
