dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.226687,8.710544,0.003513,0.140531,2.810628,56.212556,0.010632
0.050000,5.232602,8.710612,0.009429,0.118308,-0.444467,-65.101901,0.011886
0.050000,5.267621,8.711078,0.044451,0.700445,11.642735,241.744052,0.014702
0.050000,5.329847,8.712148,0.106685,1.244687,10.884848,-15.157746,0.019686
0.050000,5.426990,8.714437,0.203856,1.943409,13.974446,61.791952,0.027414
0.050000,5.566680,8.719038,0.343622,2.795319,17.038200,61.275092,0.038412
0.050000,5.756401,8.727731,0.533542,3.798403,20.061677,60.469526,0.053119
0.050000,6.003393,8.743194,0.781017,4.949505,23.022026,59.206986,0.071846
0.050000,6.310678,8.768823,1.089369,6.167033,24.350570,26.570880,0.094435
0.050000,6.677019,8.808341,1.457835,7.369326,24.045849,-6.094413,0.120257
0.050000,7.100750,8.865695,1.885430,8.551898,23.651453,-7.887926,0.148495
0.050000,7.579779,8.944742,2.370937,9.710142,23.164883,-9.731396,0.178143
0.050000,8.107996,9.048120,2.909175,10.764758,21.092320,-41.451258,0.207819
0.050000,8.675712,9.176401,3.491204,11.640583,17.516497,-71.516463,0.235937
0.050000,9.273756,9.328411,4.108265,12.341218,14.012694,-70.076054,0.261061
0.050000,9.893694,9.501302,4.751859,12.871887,10.613391,-67.986073,0.281973
0.050000,10.527925,9.690794,5.413793,13.238670,7.335646,-65.554900,0.297705
0.050000,11.169656,9.891521,6.086184,13.447825,4.183113,-63.050663,0.307550
0.050000,11.812770,10.097416,6.761453,13.505378,1.151044,-60.641377,0.311052
0.050000,12.449122,10.301315,7.429674,13.364426,-2.819024,-79.401364,0.308017
0.050000,13.070926,10.496284,8.081328,13.033082,-6.626897,-76.157459,0.298585
0.050000,13.672976,10.676864,8.709877,12.570962,-9.242382,-52.309686,0.283161
0.050000,14.249947,10.838588,9.309085,11.984158,-11.736083,-49.874027,0.262402
0.050000,14.796329,10.978265,9.873037,11.279056,-14.102037,-47.319077,0.237228
0.050000,15.306424,11.094173,10.396136,10.461972,-16.341680,-44.792852,0.208818
0.050000,15.774396,11.186139,10.873059,9.538465,-18.470156,-42.569539,0.178583
0.050000,16.194339,11.255467,11.298686,8.512535,-20.518586,-40.968583,0.148097
0.050000,16.562744,11.305002,11.670406,7.434405,-21.562614,-20.880572,0.118812
0.050000,16.879270,11.338509,11.988701,6.365897,-21.370144,3.849401,0.091830
0.050000,17.144321,11.359761,12.254603,5.318034,-20.957270,8.257489,0.068006
0.050000,17.358268,11.372198,12.468911,4.286165,-20.637370,6.397987,0.048003
0.050000,17.523821,11.378835,12.634597,3.313710,-19.449105,23.765312,0.032077
0.050000,17.646754,11.382040,12.757571,2.459493,-17.084343,47.295234,0.020012
0.050000,17.733515,11.383402,12.844343,1.735439,-14.481073,52.065406,0.011378
0.050000,17.790482,11.383888,12.901313,1.139389,-11.920999,51.201475,0.005659
0.050000,17.823980,11.384021,12.934810,0.669953,-9.388735,50.645281,0.002277
0.050000,17.840296,11.384045,12.951127,0.326333,-6.872395,50.326797,0.000625
0.050000,17.845704,11.384046,12.956534,0.108145,-4.363764,50.172616,0.000077
0.050000,17.846463,11.384046,12.957293,0.015182,-1.859259,50.090096,6.283185
0.050000,17.846463,11.384046,12.957293,0.000000,-0.303635,31.112481,6.283185
