dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.200994,11.127074,0.003513,0.140531,2.810628,56.212556,0.010632
0.050000,5.203878,11.127108,0.006397,0.057671,-1.657214,-89.356834,0.011886
0.050000,5.232092,11.127484,0.034614,0.564335,10.133289,235.810063,0.014702
0.050000,5.282275,11.128347,0.084804,1.003801,8.789321,-26.879361,0.019686
0.050000,5.360747,11.130196,0.163297,1.569877,11.321518,50.643941,0.027414
0.050000,5.473875,11.133922,0.276487,2.263784,13.878139,51.132411,0.038412
0.050000,5.628091,11.140989,0.430865,3.087572,16.475753,51.952278,0.053119
0.050000,5.829915,11.153627,0.633084,4.044368,19.135929,53.203527,0.071846
0.050000,6.082798,11.174722,0.886846,5.075237,20.617372,29.628848,0.094435
0.050000,6.387097,11.207554,1.192911,6.121310,20.921461,6.081784,0.120257
0.050000,6.743203,11.255766,1.552266,7.187091,21.315632,7.883434,0.148495
0.050000,7.151539,11.323163,1.966126,8.277214,21.802453,9.736416,0.178143
0.050000,7.609374,11.412787,2.432651,9.330490,21.065524,-14.738579,0.207819
0.050000,8.110806,11.526116,2.946730,10.281590,19.021991,-40.870663,0.235937
0.050000,8.650000,11.663193,3.503076,11.126906,16.906317,-42.313487,0.261061
0.050000,9.221254,11.822530,4.096135,11.861187,14.685629,-44.413750,0.281973
0.050000,9.819052,12.001157,4.720050,12.478308,12.342416,-46.864273,0.297705
0.050000,10.438072,12.194793,5.368649,12.971970,9.873234,-49.383631,0.307550
0.050000,11.073124,12.398112,6.035454,13.336105,7.282706,-51.810565,0.311052
0.050000,11.716463,12.604246,6.711011,13.511139,3.500688,-75.640363,0.308017
0.050000,12.360021,12.806023,7.385459,13.488963,-0.443519,-78.884129,0.298585
0.050000,12.997778,12.997291,8.051281,13.316427,-3.450722,-60.144068,0.283161
0.050000,13.623060,13.172531,8.700655,12.987482,-6.578913,-62.563820,0.262402
0.050000,14.228390,13.327248,9.325444,12.495781,-9.834018,-65.102098,0.237228
0.050000,14.805439,13.458341,9.917197,11.835058,-13.214464,-67.608912,0.208818
0.050000,15.345111,13.564372,10.467186,10.999785,-16.705447,-69.819659,0.178583
0.050000,15.837745,13.645680,10.966484,9.985972,-20.276260,-71.416267,0.148097
0.050000,16.276291,13.704632,11.408975,8.849810,-22.723249,-48.939778,0.118812
0.050000,16.657660,13.744993,11.792474,7.669974,-23.596720,-17.469419,0.091830
0.050000,16.980100,13.770842,12.115948,6.469487,-24.009732,-8.260242,0.068006
0.050000,17.242306,13.786081,12.378596,5.252964,-24.330463,-6.414617,0.048003
0.050000,17.446314,13.794259,12.582769,4.083454,-23.390210,18.805056,0.032077
0.050000,17.598396,13.798223,12.734902,3.042662,-20.815832,51.487561,0.020012
0.050000,17.706018,13.799913,12.842537,2.152703,-17.799180,60.333046,0.011378
0.050000,17.776807,13.800516,12.913329,1.415836,-14.737339,61.236806,0.005659
0.050000,17.818477,13.800681,12.954999,0.833398,-11.648752,61.771737,0.002277
0.050000,17.838786,13.800711,12.975308,0.406183,-8.544301,62.089037,0.000625
0.050000,17.845518,13.800713,12.982040,0.134640,-5.430857,62.268865,0.000077
0.050000,17.846463,13.800713,12.982985,0.018903,-2.314756,62.322025,6.283185
0.050000,17.846463,13.800713,12.982985,0.000000,-0.378054,38.734047,6.283185
