dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,9.918809,0.003513,0.140531,2.810628,56.212556,0.010632
0.050000,5.218240,9.918860,0.017566,0.421594,5.621256,56.212556,0.011886
0.050000,5.249857,9.919281,0.049186,0.843188,8.431883,56.212556,0.014702
0.050000,5.306061,9.920247,0.105399,1.405314,11.242511,56.212556,0.019686
0.050000,5.393868,9.922316,0.193231,2.107971,14.053139,56.212556,0.027414
0.050000,5.520277,9.926480,0.319709,2.951159,16.863767,56.212556,0.038412
0.050000,5.692246,9.934360,0.491860,3.934879,19.674395,56.212556,0.053119
0.050000,5.916654,9.948410,0.716710,5.059130,22.485023,56.212556,0.071846
0.050000,6.196738,9.971773,0.997773,6.183381,22.485023,-0.000000,0.094435
0.050000,6.532058,10.007948,1.335048,7.307632,22.485023,0.000000,0.120257
0.050000,6.921977,10.060730,1.728536,8.431883,22.485023,0.000000,0.148495
0.050000,7.365659,10.133952,2.178237,9.556135,22.485023,0.000000,0.178143
0.050000,7.858685,10.230454,2.680636,10.539854,19.674395,-56.212556,0.207819
0.050000,8.393259,10.351259,3.228709,11.383043,16.863767,-56.212556,0.235937
0.050000,8.961878,10.495802,3.815427,12.085700,14.053139,-56.212556,0.261061
0.050000,9.557474,10.661916,4.433765,12.647825,11.242511,-56.212556,0.281973
0.050000,10.173489,10.845975,5.076697,13.069419,8.431883,-56.212556,0.297705
0.050000,10.803864,11.043157,5.737194,13.350482,5.621256,-56.212556,0.307550
0.050000,11.442947,11.247764,6.408231,13.491014,2.810628,-56.212556,0.311052
0.050000,12.082793,11.452780,7.080121,13.384563,-2.129019,-98.792934,0.308017
0.050000,12.715474,11.651153,7.743174,13.137580,-4.939647,-56.212556,0.298585
0.050000,13.335377,11.837077,8.390366,12.750067,-7.750275,-56.212556,0.283161
0.050000,13.936504,12.005559,9.014668,12.222021,-10.560902,-56.212556,0.262402
0.050000,14.512359,12.152756,9.609054,11.553445,-13.371530,-56.212556,0.237228
0.050000,15.055932,12.276257,10.166499,10.744337,-16.182158,-56.212556,0.208818
0.050000,15.559754,12.375255,10.679975,9.794698,-18.992786,-56.212556,0.178583
0.050000,16.016042,12.450573,11.142455,8.704527,-21.803414,-56.212556,0.148097
0.050000,16.419517,12.504817,11.549576,7.580276,-22.485023,-13.632179,0.118812
0.050000,16.768465,12.541751,11.900483,6.456025,-22.485023,0.000000,0.091830
0.050000,17.062211,12.565302,12.195178,5.331774,-22.485023,-0.000000,0.068006
0.050000,17.300287,12.579139,12.433660,4.207523,-22.485023,0.000000,0.048003
0.050000,17.485068,12.586547,12.618592,3.189722,-20.356004,42.580377,0.032077
0.050000,17.622575,12.590131,12.756146,2.312454,-17.545376,56.212556,0.020012
0.050000,17.719766,12.591658,12.853350,1.575716,-14.734748,56.212556,0.011378
0.050000,17.783645,12.592202,12.917231,0.979510,-11.924120,56.212556,0.005659
0.050000,17.821228,12.592351,12.954814,0.523836,-9.113492,56.212556,0.002277
0.050000,17.839541,12.592378,12.973128,0.208692,-6.302865,56.212556,0.000625
0.050000,17.845611,12.592380,12.979197,0.034080,-3.492237,56.212556,0.000077
0.050000,17.846463,12.592380,12.980049,0.000000,-0.681609,56.212556,6.283185
0.050000,17.846463,12.592380,12.980049,0.000000,0.000000,13.632179,6.283185
