dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.201658,11.127081,0.003621,0.144857,2.897143,57.942855,0.010082
0.050000,5.203203,11.127101,0.005166,0.030896,-2.279227,-103.527395,0.012009
0.050000,5.230558,11.127489,0.032524,0.547146,10.325003,252.084606,0.016342
0.050000,5.279185,11.128471,0.081161,0.972743,8.511937,-36.261332,0.024043
0.050000,5.355157,11.130755,0.157167,1.520132,10.947786,48.716979,0.036066
0.050000,5.464542,11.135648,0.266662,2.189894,13.395242,48.949132,0.053342
0.050000,5.613394,11.145346,0.415829,2.983338,15.868870,49.472551,0.076746
0.050000,5.807754,11.163263,0.611013,3.903676,18.406774,50.758076,0.107019
0.050000,6.050605,11.193949,0.855795,4.895654,19.839552,28.655557,0.144192
0.050000,6.341884,11.242748,1.151134,5.906765,20.222217,7.653303,0.187471
0.050000,6.681513,11.315782,1.498526,6.947849,20.821690,11.989459,0.235615
0.050000,7.069400,11.419659,1.900082,8.031119,21.665403,16.874268,0.286878
0.050000,7.502427,11.559976,2.355275,9.103869,21.454984,-4.208389,0.338701
0.050000,7.974521,11.739892,2.860490,10.104300,20.008619,-28.927299,0.388088
0.050000,8.479844,11.960148,3.411730,11.024781,18.409631,-31.979754,0.432360
0.050000,9.013019,12.218848,4.004352,11.852453,16.553438,-37.123849,0.469365
0.050000,9.569347,12.511574,4.632993,12.572816,14.407260,-42.923577,0.497552
0.050000,10.144928,12.831751,5.291633,13.172796,11.999607,-48.153045,0.515908
0.050000,10.736610,13.171136,5.973740,13.642152,9.387115,-52.249841,0.523839
0.050000,11.340449,13.519563,6.670894,13.943066,6.018274,-67.376823,0.521084
0.050000,11.952477,13.866157,7.374246,14.067054,2.479756,-70.770364,0.507731
0.050000,12.569463,14.200654,8.076073,14.036531,-0.610447,-61.804065,0.484174
0.050000,13.187028,14.513170,8.768209,13.842723,-3.876162,-65.314288,0.451174
0.050000,13.799028,14.794815,9.441906,13.473941,-7.375641,-69.989578,0.409974
0.050000,14.397113,15.038448,10.087710,12.916085,-11.157126,-75.629713,0.362407
0.050000,14.970637,15.239503,10.695455,12.154884,-15.224016,-81.337793,0.310900
0.050000,15.507062,15.396663,11.254428,11.179459,-19.508505,-85.689778,0.258329
0.050000,15.994482,15.512441,11.755409,10.019634,-23.196496,-73.759828,0.207571
0.050000,16.425211,15.592770,12.193565,8.763120,-25.130279,-38.675660,0.160866
0.050000,16.795039,15.645032,12.567067,7.470033,-25.861748,-14.629379,0.119727
0.050000,17.101041,15.676504,12.874683,6.152324,-26.354172,-9.848475,0.085169
0.050000,17.343145,15.693821,13.117406,4.854457,-25.957341,7.936611,0.057603
0.050000,17.526319,15.702462,13.300783,3.667550,-23.738140,44.384027,0.036665
0.050000,17.658535,15.706310,13.433056,2.645445,-20.442102,65.920752,0.021527
0.050000,17.748038,15.707778,13.522571,1.790299,-17.102917,66.783716,0.011274
0.050000,17.803181,15.708226,13.577716,1.102900,-13.747982,67.098684,0.004958
0.050000,17.832364,15.708322,13.606898,0.583653,-10.384943,67.260783,0.001615
0.050000,17.843988,15.708333,13.618523,0.232493,-7.023189,67.235077,0.000283
0.050000,17.846463,15.708333,13.620997,0.049491,-3.660044,67.262913,0.000000
0.050000,17.846463,15.708333,13.620997,0.000000,-0.989822,53.404425,0.000000
