dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,9.918809,0.003621,0.144857,2.897143,57.942855,0.010082
0.050000,5.217713,9.918855,0.018107,0.434571,5.794286,57.942855,0.012009
0.050000,5.250303,9.919317,0.050700,0.869143,8.691428,57.942855,0.016342
0.050000,5.308234,9.920486,0.108643,1.448571,11.588571,57.942855,0.024043
0.050000,5.398727,9.923207,0.199179,2.172857,14.485714,57.942855,0.036066
0.050000,5.528967,9.929034,0.329550,3.042000,17.382857,57.942855,0.053342
0.050000,5.706037,9.940570,0.507000,4.056000,20.279999,57.942855,0.076746
0.050000,5.936822,9.961842,0.738771,5.214857,23.177142,57.942855,0.107019
0.050000,6.224234,9.998155,1.028486,6.373714,23.177142,-0.000000,0.144192
0.050000,6.567087,10.055586,1.376143,7.532571,23.177142,0.000000,0.187471
0.050000,6.963587,10.140833,1.781743,8.691428,23.177142,0.000000,0.235615
0.050000,7.411309,10.260708,2.245286,9.850285,23.177142,0.000000,0.286878
0.050000,7.903910,10.420292,2.763150,10.864285,20.279999,-57.942855,0.338701
0.050000,8.431778,10.621417,3.328093,11.733428,17.382857,-57.942855,0.388088
0.050000,8.986153,10.863006,3.932871,12.457714,14.485714,-57.942855,0.432360
0.050000,9.559572,11.141189,4.570243,13.037142,11.588571,-57.942855,0.469365
0.050000,10.146056,11.449747,5.232964,13.471714,8.691428,-57.942855,0.497552
0.050000,10.741029,11.780688,5.913793,13.761428,5.794286,-57.942855,0.515908
0.050000,11.341028,12.124834,6.605486,13.906285,2.897143,-57.942855,0.523839
0.050000,11.941982,12.471600,7.299310,13.846687,-1.191968,-81.782221,0.521084
0.050000,12.539963,12.810255,7.986533,13.642231,-4.089111,-57.942855,0.507731
0.050000,13.131916,13.131207,8.659912,13.292919,-6.986254,-57.942855,0.484174
0.050000,13.713888,13.425748,9.312203,12.798749,-9.883397,-57.942855,0.451174
0.050000,14.280652,13.686615,9.936165,12.159722,-12.780539,-57.942855,0.409974
0.050000,14.825499,13.908601,10.524554,11.375838,-15.677682,-57.942855,0.362407
0.050000,15.340285,14.089099,11.070127,10.447096,-18.574825,-57.942855,0.310900
0.050000,15.815750,14.228424,11.565642,9.373498,-21.471968,-57.942855,0.258329
0.050000,16.243500,14.330046,12.005346,8.214641,-23.177142,-34.103490,0.207571
0.050000,16.618754,14.400038,12.387106,7.055784,-23.177142,0.000000,0.160866
0.050000,16.939363,14.445349,12.710924,5.896927,-23.177142,0.000000,0.119727
0.050000,17.203829,14.472551,12.976799,4.738070,-23.177142,0.000000,0.085169
0.050000,17.412711,14.487492,13.186221,3.638811,-21.985174,23.839366,0.057603
0.050000,17.570612,14.494941,13.344302,2.684409,-19.088031,57.942855,0.036665
0.050000,17.684545,14.498257,13.458283,1.874865,-16.190888,57.942855,0.021527
0.050000,17.761661,14.499522,13.535409,1.210178,-13.293746,57.942855,0.011274
0.050000,17.809171,14.499908,13.582923,0.690348,-10.396603,57.942855,0.004958
0.050000,17.834315,14.499990,13.608066,0.315375,-7.499460,57.942855,0.001615
0.050000,17.844331,14.500000,13.618081,0.085259,-4.602317,57.942855,0.000283
0.050000,17.846463,14.500000,13.620213,0.000000,-1.705174,57.942855,0.000000
0.050000,17.846463,14.500000,13.620213,0.000000,0.000000,34.103490,0.000000
