dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.226023,8.710537,0.003621,0.144857,2.897143,57.942855,0.010082
0.050000,5.232223,8.710608,0.009822,0.124004,-0.417070,-66.284252,0.012009
0.050000,5.270048,8.711145,0.047650,0.756575,12.651427,261.369944,0.016342
0.050000,5.337282,8.712502,0.114898,1.344960,11.767705,-17.674441,0.024043
0.050000,5.442297,8.715660,0.219960,2.101240,15.125586,67.157622,0.036066
0.050000,5.593392,8.722419,0.371206,3.024922,18.473647,66.961211,0.053342
0.050000,5.798680,8.735793,0.576930,4.114466,21.790878,66.344618,0.076746
0.050000,6.065890,8.760422,0.845272,5.366848,25.047644,65.135319,0.107019
0.050000,6.397863,8.802361,1.179884,6.692240,26.507832,29.203767,0.144192
0.050000,6.792290,8.868424,1.579805,7.998419,26.123583,-7.684978,0.187471
0.050000,7.245661,8.965885,2.043534,9.274572,25.523056,-12.010554,0.235615
0.050000,7.753218,9.101756,2.568962,10.508563,24.679824,-16.864636,0.286878
0.050000,8.305394,9.280608,3.149381,11.608374,21.996229,-53.671886,0.338701
0.050000,8.889035,9.502943,3.773936,12.491113,17.654775,-86.829096,0.388088
0.050000,9.492462,9.765864,4.432155,13.164381,13.465361,-83.788281,0.432360
0.050000,10.106126,10.063530,5.114203,13.640949,9.531350,-78.680204,0.469365
0.050000,10.722765,10.387920,5.810961,13.935161,5.884245,-72.942111,0.497552
0.050000,11.337130,10.729625,6.513959,14.059964,2.496056,-67.763766,0.515908
0.050000,11.945446,11.078532,7.215233,14.025489,-0.689499,-63.711103,0.523839
0.050000,12.543515,11.423636,7.905728,13.809900,-4.311782,-72.445660,0.521084
0.050000,13.127449,11.754353,8.576811,13.421659,-7.764802,-69.060400,0.507731
0.050000,13.694368,12.061760,9.221711,12.897999,-10.473213,-54.168218,0.484174
0.050000,14.240748,12.338325,9.834099,12.247759,-13.004802,-50.631795,0.451174
0.050000,14.762276,12.578415,10.408237,11.482758,-15.300007,-45.904084,0.409974
0.050000,15.253885,12.778753,10.939100,10.617252,-17.310123,-40.202339,0.362407
0.050000,15.709933,12.938694,11.422381,9.665630,-19.032446,-34.446446,0.310900
0.050000,16.124437,13.060186,11.854324,8.638849,-20.535610,-30.063277,0.258329
0.050000,16.492518,13.147650,12.232654,7.566598,-21.445029,-18.188395,0.207571
0.050000,16.812297,13.207306,12.557949,6.505906,-21.213845,4.623682,0.160866
0.050000,17.083688,13.245665,12.832037,5.481767,-20.482775,14.621408,0.119727
0.050000,17.306617,13.268597,13.056143,4.482123,-19.992874,9.798015,0.085169
0.050000,17.482276,13.281163,13.232251,3.522151,-19.199438,15.868724,0.057603
0.050000,17.614906,13.287420,13.365028,2.655546,-17.332116,37.346443,0.036665
0.050000,17.710555,13.290204,13.460717,1.913784,-14.835241,49.937489,0.021527
0.050000,17.775284,13.291265,13.525455,1.294761,-12.380444,49.095950,0.011274
0.050000,17.815162,13.291589,13.565335,0.797585,-9.943520,48.738480,0.004958
0.050000,17.836266,13.291658,13.586439,0.422089,-7.509917,48.672055,0.001615
0.050000,17.844673,13.291666,13.594846,0.168140,-5.078992,48.618495,0.000283
0.050000,17.846463,13.291667,13.596636,0.035792,-2.646947,48.640900,0.000000
0.050000,17.846463,13.291667,13.596636,0.000000,-0.715850,38.621948,0.000000
