dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.212576,11.193981,0.003606,0.144231,2.884615,57.692308,0.001047
0.050000,5.220157,11.193980,0.011187,0.151616,0.147698,-54.738358,6.282535
0.050000,5.257215,11.193885,0.048244,0.741158,11.790849,232.863022,6.278723
0.050000,5.323068,11.193368,0.114100,1.317117,11.519174,-5.433482,6.271967
0.050000,5.425881,11.191675,0.216927,2.056534,14.788352,65.383543,6.261470
0.050000,5.573721,11.187354,0.364830,2.958064,18.030587,64.844715,6.246494
0.050000,5.774458,11.177960,0.565787,4.019128,21.221286,63.813965,6.226402
0.050000,6.035596,11.159738,0.827560,5.235469,24.326813,62.110549,6.200738
0.050000,6.359974,11.127829,1.153504,6.518876,25.668138,26.826507,6.169707
0.050000,6.745635,11.076871,1.542517,7.780256,25.227610,-8.810576,6.134220
0.050000,7.189826,11.001289,1.993092,9.011499,24.624862,-12.054957,6.095525
0.050000,7.689031,10.895856,2.503309,10.204355,23.857107,-15.355088,6.055210
0.050000,8.239180,10.756297,3.070884,11.351495,22.942818,-18.285779,6.015170
0.050000,8.832346,10.581039,3.689398,12.370285,20.375794,-51.340482,5.977735
0.050000,9.457709,10.372197,4.348712,13.186269,16.319673,-81.122418,5.945335
0.050000,10.105973,10.134643,5.039131,13.808380,12.442230,-77.548871,5.920026
0.050000,10.769509,9.875550,5.751457,14.246533,8.763061,-73.583381,5.903452
0.050000,11.442190,9.603823,6.476947,14.509795,5.265226,-69.956695,5.896878
0.050000,12.118999,9.329516,7.207231,14.605683,1.917771,-66.949096,5.901258
0.050000,12.795533,9.063273,7.934268,14.540737,-1.298922,-64.333858,5.917272
0.050000,13.467496,8.815735,8.650376,14.322147,-4.371813,-61.457836,5.945301
0.050000,14.133480,8.595876,9.351712,14.026726,-5.908420,-30.732140,5.985536
0.050000,14.794614,8.411118,10.038176,13.729293,-5.948659,-0.804777,6.038051
0.050000,15.451322,8.268403,10.710214,13.440742,-5.771002,3.553148,6.102476
0.050000,16.103503,8.173797,11.369220,13.180136,-5.212129,11.177452,6.177652
0.050000,16.750128,8.132099,12.017188,12.959356,-4.415607,15.930439,6.261294
0.050000,17.404016,8.141155,12.671139,13.079022,2.393319,136.178531,0.045879
0.050000,18.035569,8.194222,13.304918,12.675577,-8.068902,-209.244418,0.126776
0.050000,18.607008,8.296751,13.885482,11.611274,-21.286057,-264.343100,0.235417
0.050000,19.096075,8.449153,14.397745,10.245255,-27.320368,-120.686238,0.378286
0.050000,19.486142,8.643399,14.833501,8.715125,-30.602605,-65.644733,0.556215
0.050000,19.778751,8.867084,15.201815,7.366280,-26.976891,72.514279,0.755816
0.050000,19.993648,9.113251,15.528586,6.535421,-16.617198,207.193869,0.949803
0.050000,20.150891,9.377769,15.836311,6.154507,-7.618273,179.978490,1.114289
0.050000,20.262887,9.650103,16.130774,5.889260,-5.304938,46.266699,1.242127
0.050000,20.338885,9.915253,16.406601,5.516546,-7.454285,-42.986927,1.337723
0.050000,20.387504,10.159109,16.655257,4.973102,-10.868886,-68.292027,1.408104
0.050000,20.416624,10.371225,16.869362,4.282118,-13.819663,-59.015535,1.459356
0.050000,20.432814,10.545283,17.044171,3.496173,-15.718900,-37.984742,1.496036
0.050000,20.441170,10.680517,17.179664,2.709852,-15.726420,-0.150405,1.521781
0.050000,20.445175,10.780366,17.279593,1.998581,-14.225437,30.019661,1.539451
0.050000,20.446937,10.849462,17.348711,1.382364,-12.324322,38.022299,1.551078
0.050000,20.447642,10.893129,17.392384,0.873456,-10.178173,42.922983,1.558188
0.050000,20.447898,10.917081,17.416337,0.479066,-7.887797,45.807523,1.562014
0.050000,20.447979,10.927237,17.426494,0.203130,-5.518727,47.381398,1.563620
0.050000,20.447996,10.929616,17.428873,0.047579,-3.111015,48.154242,1.563995
0.050000,20.447996,10.929616,17.428873,0.000000,-0.951578,43.188739,1.563995
