dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,9.985648,0.003606,0.144231,2.884615,57.692308,0.001047
0.050000,5.219371,9.985647,0.018029,0.432692,5.769231,57.692308,6.282535
0.050000,5.251822,9.985564,0.050481,0.865385,8.653846,57.692308,6.278723
0.050000,5.309513,9.985111,0.108173,1.442308,11.538462,57.692308,6.271967
0.050000,5.399644,9.983626,0.198317,2.163462,14.423077,57.692308,6.261470
0.050000,5.529395,9.979834,0.328125,3.028846,17.307692,57.692308,6.246494
0.050000,5.705882,9.971574,0.504808,4.038462,20.192308,57.692308,6.226402
0.050000,5.936085,9.955509,0.735577,5.192308,23.076923,57.692308,6.200738
0.050000,6.223148,9.927267,1.024038,6.346154,23.076923,-0.000000,6.169707
0.050000,6.566301,9.881919,1.370192,7.500000,23.076923,0.000000,6.134220
0.050000,6.964398,9.814170,1.774038,8.653846,23.076923,-0.000000,6.095525
0.050000,7.415941,9.718787,2.235577,9.807692,23.076923,0.000000,6.055210
0.050000,7.919191,9.591103,2.754808,10.961538,23.076923,-0.000000,6.015170
0.050000,8.468973,9.428638,3.328125,11.971154,20.192308,-57.692308,5.977735
0.050000,9.057195,9.232172,3.948317,12.836538,17.307692,-57.692308,5.945335
0.050000,9.676738,9.005118,4.608173,13.557692,14.423077,-57.692308,5.920026
0.050000,10.321613,8.753294,5.300481,14.134615,11.538462,-57.692308,5.903452
0.050000,10.986926,8.484535,6.018029,14.567308,8.653846,-57.692308,5.896878
0.050000,11.668642,8.208245,6.753606,14.855769,5.769231,-57.692308,5.901258
0.050000,12.363188,7.934935,7.500000,15.000000,2.884615,-57.692308,5.917272
0.050000,13.066944,7.675723,8.250000,15.000000,0.000000,-57.692308,5.945301
0.050000,13.779107,7.440675,9.000000,15.000000,0.000000,0.000000,5.985536
0.050000,14.501368,7.238909,9.750000,15.000000,0.000000,0.000000,6.038051
0.050000,15.234151,7.079746,10.500000,15.000000,0.000000,0.000000,6.102476
0.050000,15.976220,6.972186,11.250000,15.000000,0.000000,0.000000,6.177652
0.050000,16.723678,6.924055,11.999225,14.968992,-0.620156,-12.403117,6.261294
0.050000,17.459434,6.934093,12.743293,14.793754,-3.504771,-57.692308,0.045879
0.050000,18.188347,6.995586,13.474994,14.474284,-6.389387,-57.692308,0.126776
0.050000,18.888849,7.121746,14.187116,14.010584,-9.274002,-57.692308,0.235417
0.050000,19.542346,7.326250,14.872447,13.402653,-12.158617,-57.692308,0.378286
0.050000,20.124112,7.617210,15.523776,12.650492,-15.043233,-57.692308,0.556215
0.050000,20.607526,7.987765,16.133890,11.754099,-17.927848,-57.692308,0.755816
0.050000,20.976387,8.410191,16.695580,10.713476,-20.812464,-57.692308,0.949803
0.050000,21.235488,8.845117,17.202407,9.559630,-23.076923,-45.289190,1.114289
0.050000,21.406541,9.260072,17.651543,8.405784,-23.076923,0.000000,1.242127
0.050000,21.514546,9.636166,18.042986,7.251938,-23.076923,-0.000000,1.337723
0.050000,21.579881,9.963389,18.376737,6.098091,-23.076923,0.000000,1.408104
0.050000,21.617462,10.236846,18.652795,4.944245,-23.076923,0.000000,1.459356
0.050000,21.637772,10.455031,18.871936,3.821407,-22.456767,12.403117,1.496036
0.050000,21.648052,10.621315,19.038541,2.842799,-19.572152,57.692308,1.521781
0.050000,21.652915,10.742497,19.159822,2.008423,-16.687536,57.692308,1.539451
0.050000,21.655035,10.825637,19.242990,1.318277,-13.802921,57.692308,1.551078
0.050000,21.655879,10.877894,19.295255,0.772361,-10.918306,57.692308,1.558188
0.050000,21.656185,10.906469,19.323831,0.370677,-8.033690,57.692308,1.562014
0.050000,21.656281,10.918566,19.335929,0.113223,-5.149075,57.692308,1.563620
0.050000,21.656301,10.921398,19.338759,0.000000,-2.264460,57.692308,1.563995
0.050000,21.656301,10.921398,19.338759,0.000000,0.000000,45.289190,1.563995
