dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.215106,8.777316,0.003606,0.144231,2.884615,57.692308,0.001047
0.050000,5.218585,8.777313,0.007085,0.069579,-1.493036,-87.553027,6.282535
0.050000,5.246430,8.777242,0.034930,0.556898,9.746375,224.788218,6.278723
0.050000,5.295957,8.776854,0.084459,0.990587,8.673789,-21.451723,6.271967
0.050000,5.373407,8.775578,0.161919,1.549204,11.172346,49.971144,6.261470
0.050000,5.485070,8.772314,0.273629,2.234205,13.700016,50.553392,6.246494
0.050000,5.637306,8.765188,0.426032,3.048057,16.277027,51.540230,6.226402
0.050000,5.836573,8.751281,0.625784,3.995044,18.939744,53.254334,6.200738
0.050000,6.086323,8.726706,0.876740,5.019108,20.481284,30.830813,6.169707
0.050000,6.386966,8.686968,1.179999,6.065175,20.921339,8.801085,6.134220
0.050000,6.738970,8.627051,1.537065,7.141333,21.523171,12.036647,6.095525
0.050000,7.142850,8.541718,1.949862,8.255928,22.291894,15.374464,6.055210
0.050000,7.599202,8.425909,2.420679,9.416344,23.208314,18.328405,6.015170
0.050000,8.105600,8.276236,2.948732,10.561066,22.894442,-6.277442,5.977735
0.050000,8.656682,8.092146,3.529749,11.620335,21.185387,-34.181099,5.945335
0.050000,9.247502,7.875593,4.159006,12.585144,19.296181,-37.784135,5.920026
0.050000,9.873716,7.631038,4.831279,13.445457,17.206251,-41.798597,5.903452
0.050000,10.531662,7.365248,5.540883,14.192077,14.932395,-45.477124,5.896878
0.050000,11.218285,7.086974,6.281751,14.817370,12.505862,-48.530650,5.901258
0.050000,11.930843,6.806597,7.047487,15.314710,9.946813,-51.180986,5.917272
0.050000,12.666391,6.535711,7.831330,15.676871,7.243206,-54.072131,5.945301
0.050000,13.424734,6.285474,8.629893,15.971247,5.887524,-27.113640,5.985536
0.050000,14.208121,6.066699,9.443255,16.267252,5.920107,0.651663,6.038051
0.050000,15.016980,5.891089,10.270958,16.554056,5.736081,-3.680519,6.102476
0.050000,15.848937,5.770576,11.111597,16.812785,5.174579,-11.230050,6.177652
0.050000,16.697228,5.716011,11.961642,17.000887,3.762034,-28.250902,6.261294
0.050000,17.514853,5.727031,12.779341,16.353980,-12.938135,-334.003375,0.045879
0.050000,18.341124,5.796950,13.608565,16.584490,4.610193,350.966549,0.126776
0.050000,19.170691,5.946742,14.451547,16.859636,5.502927,17.854695,0.235417
0.050000,19.988618,6.203347,15.308782,17.144687,5.701014,3.961732,0.378286
0.050000,20.762082,6.591021,16.173962,17.303616,3.178572,-50.448831,0.556215
0.050000,21.436301,7.108446,17.023845,16.997656,-6.119190,-185.955250,0.755816
0.050000,21.959126,7.707131,17.818684,15.896773,-22.017658,-317.969358,0.949803
0.050000,22.320085,8.312464,18.523468,14.095678,-36.021900,-280.084840,1.114289
0.050000,22.550196,8.870042,19.126663,12.063904,-40.635489,-92.271771,1.242127
0.050000,22.690207,9.357078,19.633424,10.135231,-38.573453,41.240711,1.337723
0.050000,22.772258,9.767668,20.052133,8.374162,-35.221388,67.041309,1.408104
0.050000,22.818299,10.102467,20.390083,6.759000,-32.303229,58.363174,1.459356
0.050000,22.842730,10.364780,20.653531,5.268960,-29.800810,50.048369,1.496036
0.050000,22.854934,10.562112,20.851240,3.954182,-26.295559,70.105023,1.521781
0.050000,22.860655,10.704628,20.993870,2.852615,-22.031337,85.284447,1.539451
0.050000,22.863134,10.801811,21.091085,1.944291,-18.166472,77.297308,1.551078
0.050000,22.864117,10.862660,21.151942,1.217133,-14.543160,72.466229,1.558188
0.050000,22.864472,10.895857,21.185140,0.663971,-11.063258,69.598038,1.562014
0.050000,22.864584,10.909895,21.199179,0.280780,-7.663804,67.989081,1.563620
0.050000,22.864607,10.913180,21.202464,0.065703,-4.301546,67.245152,1.563995
0.050000,22.864607,10.913180,21.202464,0.000000,-1.314060,59.749737,1.563995
