dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,17.204289,0.003518,0.140712,2.814248,56.284969,0.000943
0.050000,5.218203,17.204288,0.017589,0.422137,5.628497,56.284969,6.282762
0.050000,5.249863,17.204226,0.049249,0.844275,8.442745,56.284969,6.279694
0.050000,5.306147,17.203877,0.105534,1.407124,11.256994,56.284969,6.274262
0.050000,5.394085,17.202721,0.193480,2.110686,14.071242,56.284969,6.265834
0.050000,5.520690,17.199762,0.320121,2.954961,16.885491,56.284969,6.253830
0.050000,5.692941,17.193314,0.492493,3.939948,19.699739,56.284969,6.237758
0.050000,5.917727,17.180776,0.717633,5.065647,22.513988,56.284969,6.217267
0.050000,6.198281,17.158742,0.999058,6.191347,22.513988,0.000000,6.192518
0.050000,6.534121,17.123362,1.336768,7.317046,22.513988,-0.000000,6.164194
0.050000,6.924532,17.070462,1.730763,8.442745,22.513988,0.000000,6.133197
0.050000,7.368563,16.995828,2.181043,9.568445,22.513988,-0.000000,6.100647
0.050000,7.861645,16.896308,2.684089,10.553432,19.699739,-56.284969,6.068090
0.050000,8.395837,16.770718,3.232868,11.397706,16.885491,-56.284969,6.037291
0.050000,8.963534,16.619642,3.820342,12.101268,14.071242,-56.284969,6.009847
0.050000,9.557640,16.445429,4.439477,12.664118,11.256994,-56.284969,5.987099
0.050000,10.171652,16.252025,5.083236,13.086255,8.442745,-56.284969,5.970102
0.050000,10.799650,16.044672,5.744585,13.367680,5.628497,-56.284969,5.959618
0.050000,11.436183,15.829549,6.416486,13.508393,2.814248,-56.284969,5.956135
0.050000,12.073598,15.614213,7.089292,13.403842,-2.091004,-98.105051,5.959860
0.050000,12.704252,15.406252,7.753353,13.158580,-4.905253,-56.284969,5.970642
0.050000,13.322718,15.211946,8.401632,12.772605,-7.719501,-56.284969,5.988049
0.050000,13.923110,15.036688,9.027096,12.245917,-10.533749,-56.284969,6.011368
0.050000,14.498959,14.884611,9.622706,11.578517,-13.347998,-56.284969,6.039589
0.050000,15.043184,14.758263,10.181429,10.770405,-16.162246,-56.284969,6.071399
0.050000,15.548180,14.658399,10.696229,9.821580,-18.976495,-56.284969,6.105215
0.050000,16.005983,14.583945,11.160070,8.732043,-21.790743,-56.284969,6.139266
0.050000,16.411094,14.531891,11.568529,7.606344,-22.513988,-14.464886,6.171917
0.050000,16.761620,14.497996,11.920704,6.480644,-22.513988,-0.000000,6.201934
0.050000,17.056815,14.477857,12.216594,5.354945,-22.513988,0.000000,6.228379
0.050000,17.296185,14.467371,12.456199,4.229246,-22.513988,0.000000,6.250539
0.050000,17.482063,14.462933,12.642132,3.208096,-20.422983,41.820082,6.268152
0.050000,17.620452,14.461773,12.780526,2.327660,-17.608735,56.284969,6.281479
0.050000,17.718340,14.462071,12.878416,1.587935,-14.794487,56.284969,0.007824
0.050000,17.782758,14.462779,12.942837,0.988923,-11.980238,56.284969,0.014139
0.050000,17.820742,14.463387,12.980826,0.530624,-9.165990,56.284969,0.017879
0.050000,17.839330,14.463736,12.999418,0.213037,-6.351741,56.284969,0.019713
0.050000,17.845559,14.463861,13.005647,0.036162,-3.537493,56.284969,0.020329
0.050000,17.846463,14.463879,13.006552,0.000000,-0.723244,56.284969,0.020418
0.050000,17.846463,14.463879,13.006552,0.000000,0.000000,14.464886,0.020418
