dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.212062,18.412621,0.003626,0.145040,2.900801,58.016011,0.001472
0.050000,5.218297,18.412622,0.009861,0.124705,-0.406695,-66.149912,6.282659
0.050000,5.256365,18.412516,0.047929,0.761354,12.732981,262.793521,6.278162
0.050000,5.324039,18.411905,0.115607,1.353551,11.843932,-17.780976,6.270166
0.050000,5.429764,18.409868,0.221351,2.114889,15.226757,67.656488,6.257673
0.050000,5.581926,18.404616,0.373604,3.045054,18.603297,67.530811,6.239699
0.050000,5.788738,18.393088,0.580736,4.142653,21.951992,66.973894,6.215315
0.050000,6.058029,18.370497,0.850973,5.404731,25.241554,65.791250,6.183715
0.050000,6.392684,18.330494,1.188010,6.740752,26.720412,29.577147,6.144836
0.050000,6.790326,18.265856,1.590872,8.057236,26.329681,-7.814615,6.099483
0.050000,7.247261,18.168859,2.057988,9.342324,25.701772,-12.558187,6.048956
0.050000,7.758400,18.032073,2.587114,10.582518,24.803883,-17.957771,5.995112
0.050000,8.313725,17.850655,3.171321,11.684137,22.032375,-55.430162,5.940689
0.050000,8.899615,17.624080,3.799496,12.563505,17.587360,-88.900308,5.888890
0.050000,9.504072,17.355464,4.460951,13.229096,13.311813,-85.510928,5.842569
0.050000,10.117431,17.051027,5.145707,13.695125,9.320587,-79.824529,5.803985
0.050000,10.732517,16.719237,5.844575,13.977343,5.644351,-73.524717,5.774743
0.050000,11.344307,16.369942,6.549056,14.089631,2.245772,-67.971581,5.755870
0.050000,11.949325,16.013667,7.251180,14.042479,-0.943040,-63.776240,5.747959
0.050000,12.543728,15.661782,7.941932,13.815031,-4.548967,-72.118536,5.751271
0.050000,13.123950,15.325204,8.612709,13.415556,-7.989491,-68.810482,5.765725
0.050000,13.687313,15.013165,9.256718,12.880165,-10.707817,-54.366519,5.790941
0.050000,14.230418,14.733450,9.867622,12.218075,-13.241799,-50.679638,5.826156
0.050000,14.749004,14.491847,10.439726,11.442085,-15.519814,-45.560305,5.870081
0.050000,15.238011,14.291645,10.968128,10.568036,-17.480979,-39.223295,5.920777
0.050000,15.691792,14.133331,11.448732,9.612091,-19.118887,-32.758172,5.975635
0.050000,16.104380,14.014635,11.878054,8.586432,-20.513185,-27.885955,6.031545
0.050000,16.470881,13.930727,12.254038,7.519680,-21.335047,-16.437231,6.085403
0.050000,16.789398,13.874972,12.577398,6.467201,-21.049574,5.709458,6.134808
0.050000,17.059853,13.840493,12.850042,5.452879,-20.286443,15.262626,6.178182
0.050000,17.282170,13.821127,13.073200,4.463169,-19.794199,9.844874,6.214503
0.050000,17.457474,13.811607,13.248763,3.511254,-19.038296,15.118060,6.243397
0.050000,17.589926,13.807786,13.381269,2.650130,-17.222480,36.316316,6.265295
0.050000,17.685526,13.806831,13.476875,1.912103,-14.760550,49.238596,6.281105
0.050000,17.750296,13.807043,13.541645,1.295402,-12.334012,48.530768,0.008621
0.050000,17.790264,13.807520,13.581616,0.799429,-9.919454,48.291160,0.015219
0.050000,17.811475,13.807880,13.602829,0.424267,-7.503246,48.324157,0.018717
0.050000,17.819968,13.808044,13.611325,0.169909,-5.087172,48.321492,0.020117
0.050000,17.821793,13.808081,13.613149,0.036491,-2.668348,48.376464,0.020418
0.050000,17.821793,13.808081,13.613149,0.000000,-0.729823,38.770506,0.020418
