dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,17.204289,0.003626,0.145040,2.900801,58.016011,0.001472
0.050000,5.217661,17.204288,0.018130,0.435120,5.801601,58.016011,6.282659
0.050000,5.250295,17.204198,0.050764,0.870240,8.702402,58.016011,6.278162
0.050000,5.308309,17.203675,0.108780,1.450400,11.603202,58.016011,6.270166
0.050000,5.398940,17.201928,0.199430,2.175600,14.504003,58.016011,6.257673
0.050000,5.529397,17.197425,0.329966,3.045841,17.404803,58.016011,6.239699
0.050000,5.706791,17.187536,0.507640,4.061121,20.305604,58.016011,6.215315
0.050000,5.938033,17.168136,0.739704,5.221441,23.206404,58.016011,6.183715
0.050000,6.226044,17.133707,1.029784,6.381761,23.206404,-0.000000,6.144836
0.050000,6.569599,17.077854,1.377880,7.542081,23.206404,0.000000,6.099483
0.050000,6.966814,16.993521,1.783992,8.702402,23.206404,0.000000,6.048956
0.050000,7.415106,16.873532,2.248120,9.862722,23.206404,0.000000,5.995112
0.050000,7.907918,16.712503,2.766639,10.878002,20.305604,-58.016011,5.940689
0.050000,8.435425,16.508465,3.332295,11.748242,17.404803,-58.016011,5.888890
0.050000,8.988721,16.262540,3.937837,12.473442,14.504003,-58.016011,5.842569
0.050000,9.560305,15.978796,4.576013,13.053603,11.603202,-58.016011,5.803985
0.050000,10.144279,15.663753,5.239571,13.488723,8.702402,-58.016011,5.774743
0.050000,10.736256,15.325747,5.921259,13.778803,5.801601,-58.016011,5.755870
0.050000,11.333032,14.974315,6.613825,13.923843,2.900801,-58.016011,5.747959
0.050000,11.930880,14.620395,7.308579,13.866291,-1.151031,-81.036635,5.751271
0.050000,12.526219,14.275068,7.996828,13.663700,-4.051832,-58.016011,5.765725
0.050000,13.116249,13.948292,8.671323,13.316068,-6.952632,-58.016011,5.790941
0.050000,13.697200,13.649131,9.324809,12.823396,-9.853433,-58.016011,5.826156
0.050000,14.263914,13.385160,9.950036,12.185685,-12.754233,-58.016011,5.870081
0.050000,14.809624,13.161798,10.539752,11.402933,-15.655034,-58.016011,5.920777
0.050000,15.325999,12.981695,11.086703,10.475141,-18.555835,-58.016011,5.975635
0.050000,15.803514,12.844358,11.583640,9.402309,-21.456635,-58.016011,6.031545
0.050000,16.233449,12.745951,12.024747,8.241989,-23.206404,-34.995387,6.085403
0.050000,16.610766,12.679915,12.407839,7.081669,-23.206404,-0.000000,6.134808
0.050000,16.933207,12.638815,12.732914,5.921349,-23.206404,0.000000,6.178182
0.050000,17.199244,12.615643,12.999974,4.761029,-23.206404,0.000000,6.214503
0.050000,17.409409,12.604230,13.210456,3.658260,-22.055373,23.020624,6.243397
0.050000,17.568309,12.599646,13.369426,2.700531,-19.154573,58.016011,6.265295
0.050000,17.683012,12.598501,13.484135,1.887843,-16.253772,58.016011,6.281105
0.050000,17.760713,12.598755,13.561836,1.220194,-13.352972,58.016011,0.008621
0.050000,17.808653,12.599326,13.609780,0.697585,-10.452171,58.016011,0.015219
0.050000,17.834090,12.599758,13.635220,0.320017,-7.551370,58.016011,0.018717
0.050000,17.844275,12.599956,13.645408,0.087488,-4.650570,58.016011,0.020117
0.050000,17.846463,12.600000,13.647595,0.000000,-1.749769,58.016011,0.020418
0.050000,17.846463,12.600000,13.647595,0.000000,0.000000,34.995387,0.020418
