dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.215620,15.995957,0.003626,0.145040,2.900801,58.016011,0.001472
0.050000,5.217025,15.995955,0.005031,0.028104,-2.338722,-104.790455,6.282659
0.050000,5.244226,15.995880,0.032232,0.544014,10.318203,253.138508,6.278162
0.050000,5.292578,15.995444,0.080586,0.967079,8.461291,-37.138253,6.270166
0.050000,5.368116,15.993988,0.156138,1.511042,10.879258,48.359358,6.257673
0.050000,5.476868,15.990234,0.264955,2.176344,13.306048,48.535782,6.239699
0.050000,5.624844,15.981985,0.413161,2.964116,15.755447,48.987997,6.215315
0.050000,5.818038,15.965776,0.607034,3.877457,18.266811,50.227269,6.183715
0.050000,6.059405,15.936919,0.850119,4.861709,19.685044,28.364656,6.144836
0.050000,6.348873,15.889852,1.143388,5.865385,20.073525,7.769618,6.099483
0.050000,6.686368,15.818183,1.488410,6.900428,20.700862,12.546755,6.048956
0.050000,7.071811,15.714990,1.887428,7.980355,21.598541,17.953582,5.995112
0.050000,7.502112,15.574351,2.340129,9.054018,21.473253,-2.505759,5.940689
0.050000,7.971235,15.392849,2.843139,10.060203,20.123706,-26.990952,5.888890
0.050000,8.473371,15.169616,3.392660,10.990418,18.604297,-30.388176,5.842569
0.050000,9.003179,14.906565,3.984177,11.830337,16.798376,-36.118414,5.803985
0.050000,9.556041,14.608270,4.612378,12.564033,14.673928,-42.488967,5.774743
0.050000,10.128205,14.281552,5.271253,13.177490,12.269131,-48.095939,5.755870
0.050000,10.716739,13.934963,5.954257,13.660095,9.652106,-52.340495,5.747959
0.050000,11.318032,13.579008,6.653012,13.975092,6.299925,-67.043634,5.751271
0.050000,11.928488,13.224931,7.358722,14.114197,2.782114,-70.356221,5.765725
0.050000,12.545185,12.883419,8.063666,14.098884,-0.306255,-61.767382,5.790941
0.050000,13.163981,12.564812,8.759668,13.920039,-3.576902,-65.412934,5.826156
0.050000,13.778823,12.278472,9.437917,13.564982,-7.101157,-70.485097,5.870081
0.050000,14.381236,12.031951,10.088820,13.018049,-10.938651,-76.749889,5.920777
0.050000,14.960207,11.830059,10.701981,12.263231,-15.096358,-83.154128,5.975635
0.050000,15.502648,11.674081,11.266402,11.288425,-19.496123,-87.995294,6.031545
0.050000,15.996016,11.561174,11.772526,10.122464,-23.319222,-76.461996,6.085403
0.050000,16.432134,11.484859,12.215270,8.854887,-25.351544,-40.646441,6.134808
0.050000,16.806561,11.437137,12.592726,7.549118,-26.115374,-15.276594,6.178182
0.050000,17.116318,11.410158,12.903656,6.218601,-26.610341,-9.899344,6.214503
0.050000,17.361344,11.396853,13.149043,4.907734,-26.217338,7.860074,6.243397
0.050000,17.546693,11.391506,13.334469,3.708524,-23.984196,44.662839,6.265295
0.050000,17.680497,11.390170,13.468280,2.676220,-20.646082,66.762273,6.281105
0.050000,17.771130,11.390466,13.558913,1.812658,-17.271233,67.496971,0.008621
0.050000,17.827041,11.391133,13.614828,1.118303,-13.887111,67.682446,0.015219
0.050000,17.856705,11.391636,13.644496,0.593359,-10.498886,67.764505,0.018717
0.050000,17.868582,11.391867,13.656376,0.237595,-7.115270,67.672309,0.020117
0.050000,17.871133,11.391919,13.658927,0.051026,-3.731386,67.677695,0.020418
0.050000,17.871133,11.391919,13.658927,0.000000,-1.020515,54.217421,0.020418
