dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.212701,18.412622,0.003518,0.140712,2.814248,56.284969,0.000943
0.050000,5.218715,18.412622,0.009531,0.120272,-0.408818,-64.461323,6.282762
0.050000,5.254082,18.412552,0.044899,0.707348,11.741520,243.006747,6.279694
0.050000,5.316929,18.412162,0.107747,1.256961,10.992271,-14.984976,6.274262
0.050000,5.415050,18.410873,0.205876,1.962591,14.112593,62.406452,6.265834
0.050000,5.556157,18.407575,0.347022,2.822904,17.206258,61.873290,6.253830
0.050000,5.747813,18.400401,0.538812,3.835803,20.257988,61.034608,6.237758
0.050000,5.997320,18.386485,0.788707,4.997904,23.242028,59.680785,6.217267
0.050000,6.307687,18.362112,1.100029,6.226445,24.570813,26.575713,6.192518
0.050000,6.677562,18.323152,1.471951,7.438431,24.239725,-6.621760,6.164194
0.050000,7.105089,18.265229,1.903384,8.628660,23.804573,-8.703053,6.133197
0.050000,7.587907,18.184086,2.392972,9.791769,23.262181,-10.847839,6.100647
0.050000,8.119552,18.076796,2.935336,10.847268,21.109987,-43.043863,6.068090
0.050000,8.689974,17.942705,3.521306,11.719404,17.442705,-73.345641,6.037291
0.050000,9.289721,17.783116,4.141923,12.412341,13.858754,-71.679025,6.009847
0.050000,9.910206,17.601183,4.788530,12.932144,10.396048,-69.254123,5.987099
0.050000,10.543810,17.401620,5.452819,13.285785,7.072815,-66.464660,5.970102
0.050000,11.183841,17.190301,6.126833,13.480280,3.889905,-63.658192,5.959618
0.050000,11.824362,16.973833,6.802944,13.522208,0.838564,-61.026819,5.956135
0.050000,12.457511,16.759935,7.471248,13.366089,-3.122374,-79.218761,5.959860
0.050000,13.075790,16.556047,8.122277,13.020571,-6.910366,-75.759838,5.970642
0.050000,13.674187,16.368033,8.749516,12.544776,-9.515892,-52.110526,5.988049
0.050000,14.247527,16.200657,9.346787,11.945438,-11.986770,-49.417560,6.011368
0.050000,14.790402,16.057270,9.908279,11.229830,-14.312158,-46.507754,6.039589
0.050000,15.297184,15.939598,10.428543,10.405285,-16.490894,-43.574730,6.071399
0.050000,15.762093,15.847647,10.902459,9.478309,-18.539519,-40.972509,6.105215
0.050000,16.179286,15.779786,11.325134,8.453509,-20.496006,-39.129728,6.139266
0.050000,16.545266,15.732752,11.694124,7.379797,-21.474239,-19.564665,6.171917
0.050000,16.859691,15.702343,12.010016,6.317840,-21.239150,4.701780,6.201934
0.050000,17.123006,15.684376,12.273944,5.278563,-20.785530,9.072410,6.228379
0.050000,17.335626,15.675060,12.486768,4.256477,-20.441733,6.875926,6.250539
0.050000,17.500228,15.671130,12.651416,3.292964,-19.270247,23.429723,6.268152
0.050000,17.622513,15.670104,12.773706,2.445800,-16.943273,46.539477,6.281479
0.050000,17.708887,15.670368,12.860080,1.727480,-14.366402,51.537423,0.007824
0.050000,17.765674,15.670991,12.916870,1.135803,-11.833553,50.656978,0.014139
0.050000,17.799139,15.671527,12.950340,0.669396,-9.328139,50.108276,0.017879
0.050000,17.815511,15.671835,12.966715,0.327492,-6.838081,49.801160,0.019713
0.050000,17.820997,15.671945,12.972202,0.109736,-4.355106,49.659517,0.020329
0.050000,17.821793,15.671961,12.972998,0.015925,-1.876228,49.577553,0.020418
0.050000,17.821793,15.671961,12.972998,0.000000,-0.318500,31.154558,0.020418
