dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.214981,18.546301,0.003606,0.144231,2.884615,57.692308,6.282242
0.050000,5.218789,18.546303,0.007414,0.076160,-1.361413,-84.920568,0.000614
0.050000,5.247014,18.546370,0.035639,0.564510,9.766990,222.568063,0.004112
0.050000,5.297223,18.546732,0.085849,1.004190,8.793607,-19.467667,0.010304
0.050000,5.375746,18.547919,0.164382,1.570657,11.329331,50.714492,0.019914
0.050000,5.488977,18.550951,0.277653,2.265433,13.895539,51.324148,0.033598
0.050000,5.643389,18.557562,0.432206,3.091051,16.512356,52.336349,0.051911
0.050000,5.845562,18.570446,0.634790,4.051674,19.212457,54.002007,0.075233
0.050000,6.099041,18.593167,0.889285,5.089902,20.764552,31.041913,0.103336
0.050000,6.404289,18.629829,1.196727,6.148840,21.178763,8.284225,0.135362
0.050000,6.761828,18.684975,1.558494,7.235341,21.730019,11.025101,0.170171
0.050000,7.172237,18.763316,1.976312,8.356371,22.420603,13.811682,0.206334
0.050000,7.636178,18.869367,2.452220,9.518152,23.235621,16.300367,0.242167
0.050000,8.151240,19.006089,2.985119,10.657989,22.796732,-8.777788,0.275595
0.050000,8.711992,19.173847,3.570427,11.706159,20.963411,-36.666421,0.304448
0.050000,9.313340,19.370723,4.203184,12.655127,18.979353,-39.681159,0.326865
0.050000,9.950671,19.592510,4.878002,13.496362,16.824696,-43.093134,0.341334
0.050000,10.619898,19.832883,5.589088,14.221734,14.507448,-46.344961,0.346681
0.050000,11.317377,20.083696,6.330293,14.824088,12.047073,-49.207498,0.342023
0.050000,12.039637,20.335337,7.095134,15.296830,9.454853,-51.844399,0.326750
0.050000,12.782928,20.577149,7.876770,15.632717,6.717734,-54.742387,0.300550
0.050000,13.546314,20.798979,8.671733,15.899268,5.331021,-27.734257,0.263301
0.050000,14.331473,20.991108,9.480058,16.166492,5.344478,0.269142,0.214967
0.050000,15.138570,21.143160,10.301353,16.425893,5.188031,-3.128935,0.155865
0.050000,15.965514,21.244615,11.134497,16.662896,4.740048,-8.959665,0.086919
0.050000,16.805256,21.285801,11.975248,16.815018,3.042436,-33.952237,0.010064
0.050000,17.598107,21.273598,12.768193,15.858898,-19.122384,-443.296393,6.243559
0.050000,18.404642,21.215675,13.576806,16.172247,6.266977,507.787222,6.175090
0.050000,19.219154,21.088241,14.401226,16.488409,6.323245,1.125345,6.075306
0.050000,20.030690,20.859879,15.244280,16.861079,7.453381,22.602736,5.935772
0.050000,20.809069,20.497630,16.102825,17.170898,6.196379,-25.140047,5.752977
0.050000,21.493952,19.993492,16.953248,17.008455,-3.248849,-188.904557,5.540583
0.050000,22.020494,19.397870,17.748239,15.899826,-22.172589,-378.474814,5.332246
0.050000,22.374447,18.795788,18.446656,13.968341,-38.629699,-329.142189,5.157954
0.050000,22.592409,18.246902,19.037235,11.811580,-43.135220,-90.110424,5.025537
0.050000,22.720153,17.773864,19.527218,9.799657,-40.238453,57.935347,4.928828
0.050000,22.792080,17.380622,19.926983,7.995312,-36.086910,83.030860,4.859126
0.050000,22.830609,17.064956,20.244993,6.360186,-32.702505,67.688094,4.809379
0.050000,22.849962,16.821292,20.489424,4.888618,-29.431372,65.422651,4.774376
0.050000,22.858972,16.640358,20.670582,3.623174,-25.308883,82.449798,4.750139
0.050000,22.862766,16.511820,20.799176,2.571872,-21.026021,85.657224,4.733772
0.050000,22.864145,16.426125,20.884882,1.714121,-17.155030,77.419819,4.723234
0.050000,22.864545,16.374256,20.936753,1.037418,-13.534069,72.419229,4.716996
0.050000,22.864626,16.347505,20.963504,0.535022,-10.047915,69.723085,4.713820
0.050000,22.864634,16.337360,20.973649,0.202901,-6.642417,68.109950,4.712622
0.050000,22.864635,16.335379,20.975630,0.039616,-3.265688,67.534575,4.712389
0.050000,22.864635,16.335379,20.975630,0.000000,-0.792330,49.467176,4.712389
