dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.213841,17.337968,0.003606,0.144231,2.884615,57.692308,6.282242
0.050000,5.219531,17.337970,0.018029,0.432692,5.769231,57.692308,0.000614
0.050000,5.251983,17.338046,0.050481,0.865385,8.653846,57.692308,0.004112
0.050000,5.309674,17.338462,0.108173,1.442308,11.538462,57.692308,0.010304
0.050000,5.399807,17.339825,0.198317,2.163462,14.423077,57.692308,0.019914
0.050000,5.529567,17.343300,0.328125,3.028846,17.307692,57.692308,0.033598
0.050000,5.706086,17.350857,0.504808,4.038462,20.192308,57.692308,0.051911
0.050000,5.936382,17.365530,0.735577,5.192308,23.076923,57.692308,0.075233
0.050000,6.223683,17.391280,1.024038,6.346154,23.076923,-0.000000,0.103336
0.050000,6.567353,17.432548,1.370192,7.500000,23.076923,0.000000,0.135362
0.050000,6.966461,17.494095,1.774038,8.653846,23.076923,-0.000000,0.170171
0.050000,7.419792,17.580614,2.235577,9.807692,23.076923,0.000000,0.206334
0.050000,7.925944,17.696292,2.754808,10.961538,23.076923,-0.000000,0.242167
0.050000,8.480052,17.843354,3.328125,11.971154,20.192308,-57.692308,0.275595
0.050000,9.074210,18.021082,3.948317,12.836538,17.307692,-57.692308,0.304448
0.050000,9.701306,18.226367,4.608173,13.557692,14.423077,-57.692308,0.326865
0.050000,10.355154,18.453886,5.300481,14.134615,11.538462,-57.692308,0.341334
0.050000,11.030463,18.696438,6.018029,14.567308,8.653846,-57.692308,0.346681
0.050000,11.722644,18.945351,6.753606,14.855769,5.769231,-57.692308,0.342023
0.050000,12.427472,19.190936,7.500000,15.000000,2.884615,-57.692308,0.326750
0.050000,13.140650,19.422981,8.250000,15.000000,0.000000,-57.692308,0.300550
0.050000,13.860806,19.632289,9.000000,15.000000,0.000000,0.000000,0.263301
0.050000,14.589229,19.810587,9.750000,15.000000,0.000000,0.000000,0.214967
0.050000,15.326145,19.949474,10.500000,15.000000,0.000000,0.000000,0.155865
0.050000,16.070409,20.040844,11.250000,15.000000,0.000000,0.000000,0.086919
0.050000,16.817416,20.077528,11.998092,14.923676,-1.526484,-30.529678,0.010064
0.050000,17.550238,20.066214,12.738762,14.703121,-4.411099,-57.692308,6.243559
0.050000,18.274281,20.014395,13.464798,14.338335,-7.295715,-57.692308,6.175090
0.050000,18.969772,19.905922,14.168990,13.829319,-10.180330,-57.692308,6.075306
0.050000,19.619293,19.723735,14.844124,13.176071,-13.064945,-57.692308,5.935772
0.050000,20.197999,19.455199,15.482991,12.378593,-15.949561,-57.692308,5.752977
0.050000,20.676868,19.103300,16.078378,11.436884,-18.834176,-57.692308,5.540583
0.050000,21.036957,18.695927,16.623074,10.350945,-21.718792,-57.692308,5.332246
0.050000,21.284087,18.275036,17.111775,9.197099,-23.076923,-27.162630,5.157954
0.050000,21.442839,17.874669,17.542783,8.043253,-23.076923,0.000000,5.025537
0.050000,21.540012,17.514371,17.916100,6.889406,-23.076923,0.000000,4.928828
0.050000,21.596732,17.203951,18.231724,5.735560,-23.076923,-0.000000,4.859126
0.050000,21.627954,16.947943,18.489656,4.581714,-23.076923,0.000000,4.809379
0.050000,21.643950,16.746440,18.691804,3.504192,-21.550439,30.529678,4.774376
0.050000,21.651499,16.594753,18.843681,2.570901,-18.665824,57.692308,4.750139
0.050000,21.654709,16.485984,18.952500,1.781841,-15.781208,57.692308,4.733772
0.050000,21.655883,16.413021,19.025471,1.137011,-12.896593,57.692308,4.723234
0.050000,21.656225,16.368689,19.069806,0.636412,-10.011978,57.692308,4.716996
0.050000,21.656294,16.345776,19.092718,0.280044,-7.127362,57.692308,4.713820
0.050000,21.656301,16.337078,19.101417,0.067907,-4.242747,57.692308,4.712622
0.050000,21.656301,16.335379,19.103114,0.000000,-1.358131,57.692308,4.712389
0.050000,21.656301,16.335379,19.103114,0.000000,0.000000,27.162630,4.712389
