dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.212701,16.129635,0.003606,0.144231,2.884615,57.692308,6.282242
0.050000,5.220273,16.129637,0.011178,0.151453,0.144435,-54.803599,0.000614
0.050000,5.256951,16.129723,0.047856,0.733554,11.642022,229.951722,0.004112
0.050000,5.322125,16.130193,0.113031,1.303505,11.399018,-4.860074,0.010304
0.050000,5.423868,16.131731,0.214786,2.035092,14.631750,64.654644,0.019914
0.050000,5.570157,16.135648,0.361128,2.926840,17.834953,64.064060,0.033598
0.050000,5.768783,16.144151,0.559935,3.976150,20.986197,63.024882,0.051911
0.050000,6.027203,16.160615,0.818879,5.178881,24.054634,61.368746,0.075233
0.050000,6.348325,16.189392,1.141288,6.448179,25.385963,26.626571,0.103336
0.050000,6.730417,16.235268,1.526124,7.696722,24.970852,-8.302213,0.135362
0.050000,7.171093,16.303215,1.972009,8.917682,24.419193,-11.033186,0.170171
0.050000,7.667347,16.397911,2.477217,10.104161,23.729582,-13.792213,0.206334
0.050000,8.215711,16.523217,3.039715,11.249964,22.916068,-16.270288,0.242167
0.050000,8.808863,16.680619,3.653397,12.273634,20.473387,-48.853612,0.275595
0.050000,9.436429,16.868317,4.308430,13.100672,16.540763,-78.652487,0.304448
0.050000,10.089272,17.082010,4.995358,13.738550,12.757560,-75.664058,0.326865
0.050000,10.759636,17.315263,5.705143,14.195705,9.143105,-72.289111,0.341334
0.050000,11.441028,17.559994,6.429151,14.480154,5.688989,-69.082316,0.346681
0.050000,12.127911,17.807007,7.159099,14.598961,2.376142,-66.256931,0.342023
0.050000,12.815306,18.046535,7.887031,14.558648,-0.806262,-63.648090,0.326750
0.050000,13.498371,18.268812,8.605352,14.366422,-3.844534,-60.765428,0.300550
0.050000,14.175297,18.465600,9.310302,14.098996,-5.348514,-30.079607,0.263301
0.050000,14.846984,18.630065,10.001831,13.830582,-5.368284,-0.395392,0.214967
0.050000,15.513721,18.755789,10.680318,13.569732,-5.216991,3.025862,0.155865
0.050000,16.175304,18.837072,11.346875,13.331148,-4.771682,8.906180,0.086919
0.050000,16.829576,18.869256,12.001938,13.101268,-4.597599,3.481646,0.010064
0.050000,17.502368,18.858829,12.674811,13.457457,7.123780,234.427585,6.243559
0.050000,18.143919,18.813114,13.317989,12.863556,-11.878021,-380.036016,6.175090
0.050000,18.720390,18.723603,13.901368,11.667581,-23.919504,-240.829666,6.075306
0.050000,19.207895,18.587592,14.407491,10.122449,-30.902635,-139.662621,5.935772
0.050000,19.586929,18.412768,14.824899,8.348171,-35.485557,-91.658436,5.752977
0.050000,19.859784,18.213107,15.163003,6.762082,-31.721778,75.275583,5.540583
0.050000,20.053419,17.993984,15.455423,5.848398,-18.273682,268.961922,5.332246
0.050000,20.193726,17.754284,15.733168,5.554902,-5.869930,248.075034,5.157954
0.050000,20.293268,17.502436,16.003975,5.416129,-2.775454,61.889525,5.025537
0.050000,20.359871,17.254878,16.260335,5.127210,-5.778385,-60.058632,4.928828
0.050000,20.401384,17.027280,16.491688,4.627063,-10.002943,-84.491163,4.859126
0.050000,20.425300,16.830931,16.689488,3.956001,-13.421231,-68.365751,4.809379
0.050000,20.437937,16.671587,16.849333,3.196884,-15.182342,-35.222222,4.774376
0.050000,20.444027,16.549149,16.971922,2.451779,-14.902099,5.604852,4.750139
0.050000,20.446652,16.460148,17.060961,1.780796,-13.419673,29.648525,4.733772
0.050000,20.447620,16.399917,17.121201,1.204787,-11.520167,37.990130,4.723234
0.050000,20.447904,16.363121,17.157997,0.735925,-9.377245,42.858441,4.716996
0.050000,20.447962,16.344047,17.177072,0.381493,-7.088629,45.772311,4.713820
0.050000,20.447968,16.336796,17.184323,0.145022,-4.729424,47.184109,4.712622
0.050000,20.447968,16.335379,17.185740,0.028338,-2.333692,47.914641,4.712389
0.050000,20.447968,16.335379,17.185740,0.000000,-0.566754,35.338743,4.712389
