dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.199193,23.354422,0.003645,0.145811,2.916230,58.324590,5.515989
0.050000,11.206806,23.347052,0.014241,0.211921,1.322195,-31.880695,5.513029
0.050000,11.236004,23.318542,0.055049,0.816155,12.084672,215.249550,5.506408
0.050000,11.287330,23.267502,0.127433,1.447685,12.630608,10.918713,5.494772
0.050000,11.366041,23.186885,0.240104,2.253413,16.114558,69.679008,5.476946
0.050000,11.476224,23.069098,0.401393,3.225774,19.447209,66.653015,5.452066
0.050000,11.620287,22.905965,0.619031,4.352766,22.539847,61.852768,5.419766
0.050000,11.798509,22.688910,0.899880,5.616973,25.284146,54.885981,5.380399
0.050000,12.006319,22.412890,1.245382,6.910045,25.861425,11.545570,5.335786
0.050000,12.235655,22.077289,1.651859,8.129534,24.389796,-29.432573,5.288972
0.050000,12.479076,21.682978,2.115253,9.267893,22.767176,-32.452409,5.243320
0.050000,12.728988,21.235867,2.627469,10.244310,19.528337,-64.776770,5.202521
0.050000,12.979328,20.746550,3.177106,10.992751,14.968815,-91.190439,5.169979
0.050000,13.227896,20.226254,3.753729,11.532451,10.794004,-83.496225,5.148300
0.050000,13.475642,19.686570,4.347561,11.876647,6.883921,-78.201674,5.139537
0.050000,13.725761,19.139525,4.949074,12.030257,3.072202,-76.234363,5.145536
0.050000,13.982754,18.597861,5.548612,11.990750,-0.790145,-77.246950,5.168245
0.050000,14.251425,18.075293,6.136201,11.751780,-4.779395,-79.784988,5.209867
0.050000,14.535250,17.587233,6.700789,11.291775,-9.200101,-88.414122,5.272573
0.050000,14.835551,17.148634,7.232343,10.631074,-13.214028,-80.278547,5.357692
0.050000,15.151288,16.770890,7.724665,9.846435,-15.692781,-49.575054,5.464314
0.050000,15.479133,16.459748,8.176651,9.039717,-16.134354,-8.831457,5.587338
0.050000,15.814933,16.213928,8.592811,8.323199,-14.330359,36.079901,5.717033
0.050000,16.153993,16.027101,8.979936,7.742502,-11.613943,54.328302,5.841786
0.050000,16.489346,15.891100,9.341817,7.237630,-10.097435,30.330179,5.952450
0.050000,16.810659,15.797403,9.676513,6.693910,-10.874403,-15.539366,6.044593
0.050000,17.106278,15.737120,9.978215,6.034056,-13.197089,-46.453722,6.117906
0.050000,17.367356,15.701288,10.241740,5.270501,-15.271092,-41.480056,6.174573
0.050000,17.588448,15.682039,10.463669,4.438573,-16.638568,-27.349518,6.217410
0.050000,17.766653,15.673154,10.642095,3.568524,-17.400978,-15.248200,6.248915
0.050000,17.903444,15.670023,10.778922,2.736535,-16.639783,15.223894,6.271456
0.050000,18.003443,15.669638,10.878922,2.000006,-14.730568,38.184296,0.003919
0.050000,18.071993,15.670263,10.947475,1.371055,-12.579017,43.031024,0.014265
0.050000,18.114841,15.671010,10.990329,0.857086,-10.279378,45.992788,0.020582
0.050000,18.137981,15.671525,11.013475,0.462920,-7.883323,47.921085,0.023946
0.050000,18.147534,15.671761,11.023031,0.191111,-5.436193,48.942601,0.025325
0.050000,18.149686,15.671816,11.025184,0.043066,-2.960901,49.505848,0.025635
0.050000,18.149686,15.671816,11.025184,0.000000,-0.861311,41.991790,0.025635
