dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.360465,22.484592,0.003645,0.145811,2.916230,58.324590,5.515989
0.050000,10.365507,22.479708,0.018226,0.437434,5.832459,58.324590,5.513029
0.050000,10.388980,22.456788,0.051034,0.874869,8.748689,58.324590,5.506408
0.050000,10.430336,22.415662,0.109359,1.458115,11.664918,58.324590,5.494772
0.050000,10.494000,22.350456,0.200491,2.187172,14.581148,58.324590,5.476946
0.050000,10.583645,22.254621,0.331721,3.062041,17.497377,58.324590,5.452066
0.050000,10.701871,22.120738,0.510340,4.082721,20.413607,58.324590,5.419766
0.050000,10.849900,21.940438,0.743639,5.249213,23.329836,58.324590,5.380399
0.050000,11.025273,21.707470,1.035261,6.415705,23.329836,0.000000,5.335786
0.050000,11.222673,21.418551,1.385209,7.582197,23.329836,0.000000,5.288972
0.050000,11.437087,21.071155,1.793481,8.748689,23.329836,-0.000000,5.243320
0.050000,11.662910,20.667053,2.256433,9.769369,20.413607,-58.324590,5.202521
0.050000,11.895308,20.212724,2.766773,10.644238,17.497377,-58.324590,5.169979
0.050000,12.132559,19.716052,3.317211,11.373295,14.581148,-58.324590,5.148300
0.050000,12.375876,19.185985,3.900457,11.956541,11.664918,-58.324590,5.139537
0.050000,12.629019,18.632352,4.509220,12.393975,8.748689,-58.324590,5.145536
0.050000,12.897810,18.065915,5.136209,12.685598,5.832459,-58.324590,5.168245
0.050000,13.189555,17.498664,5.774134,12.831410,2.916230,-58.324590,5.209867
0.050000,13.511602,16.945194,6.414585,12.786623,-0.895745,-76.239480,5.272573
0.050000,13.870192,16.421893,7.049151,12.596024,-3.811974,-58.324590,5.357692
0.050000,14.268752,15.945542,7.670542,12.259614,-6.728204,-58.324590,5.464314
0.050000,14.704547,15.532339,8.271468,11.777392,-9.644433,-58.324590,5.587338
0.050000,15.166797,15.194130,8.844636,11.149359,-12.560663,-58.324590,5.717033
0.050000,15.637787,14.934581,9.382758,10.375514,-15.476892,-58.324590,5.841786
0.050000,16.096954,14.748254,9.878542,9.455858,-18.393122,-58.324590,5.952450
0.050000,16.525088,14.623300,10.324699,8.390391,-21.309351,-58.324590,6.044593
0.050000,16.907473,14.545253,10.715056,7.223899,-23.329836,-40.409700,6.117906
0.050000,17.236374,14.500074,11.047089,6.057407,-23.329836,0.000000,6.174573
0.050000,17.509026,14.476319,11.320797,4.890915,-23.329836,-0.000000,6.217410
0.050000,17.725251,14.465530,11.537300,3.769211,-22.434092,17.914890,6.248915
0.050000,17.889271,14.461773,11.701363,2.793318,-19.517862,58.324590,6.271456
0.050000,18.008179,14.461314,11.820277,1.963236,-16.601633,58.324590,0.003919
0.050000,18.089230,14.462053,11.901332,1.278966,-13.685403,58.324590,0.014265
0.050000,18.139709,14.462933,11.951819,0.740507,-10.769174,58.324590,0.020582
0.050000,18.166913,14.463539,11.979028,0.347860,-7.852944,58.324590,0.023946
0.050000,18.178132,14.463815,11.990250,0.101024,-4.936715,58.324590,0.025325
0.050000,18.180659,14.463879,11.992776,0.000000,-2.020485,58.324590,0.025635
0.050000,18.180659,14.463879,11.992776,0.000000,0.000000,40.409700,0.025635
