dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.521736,21.614762,0.003645,0.145811,2.916230,58.324590,5.515989
0.050000,9.524208,21.612364,0.007088,0.068862,-1.538984,-89.104266,5.513029
0.050000,9.541957,21.595033,0.031896,0.496145,8.545650,201.692680,5.506408
0.050000,9.573343,21.563821,0.076160,0.885282,7.782754,-15.257930,5.494772
0.050000,9.621959,21.514027,0.145751,1.391823,10.130806,46.961043,5.476946
0.050000,9.691066,21.440145,0.246916,2.023299,12.629523,49.974338,5.452066
0.050000,9.783454,21.335512,0.386500,2.791680,15.367621,54.761959,5.419766
0.050000,9.901291,21.191966,0.572218,3.714355,18.453493,61.717446,5.380399
0.050000,10.044227,21.002049,0.809913,4.753908,20.791060,46.751336,5.335786
0.050000,10.209691,20.759812,1.103267,5.867085,22.263555,29.449913,5.288972
0.050000,10.395097,20.459332,1.456345,7.061564,23.889583,32.520543,5.243320
0.050000,10.596833,20.098240,1.869969,8.272466,24.218035,6.569052,5.202521
0.050000,10.811288,19.678898,2.340967,9.419964,22.949955,-25.361600,5.169979
0.050000,11.037222,19.205850,2.865200,10.484651,21.293743,-33.124238,5.148300
0.050000,11.276110,18.685401,3.437856,11.453121,19.369397,-38.486924,5.139537
0.050000,11.532276,18.125179,4.053867,12.320229,17.342164,-40.544668,5.145536
0.050000,11.812866,17.533970,4.708282,13.088291,15.361231,-39.618661,5.168245
0.050000,12.127685,16.922034,5.396450,13.763375,13.501685,-37.190917,5.209867
0.050000,12.487954,16.303156,6.112554,14.322074,11.173978,-46.554136,5.272573
0.050000,12.904834,15.695153,6.849749,14.743897,8.436454,-54.750478,5.357692
0.050000,13.386215,15.120195,7.599619,14.997404,5.070150,-67.326081,5.464314
0.050000,13.929962,14.604931,8.348723,14.982086,-0.306364,-107.530273,5.587338
0.050000,14.518660,14.174332,9.078093,14.587401,-7.893688,-151.746491,5.717033
0.050000,15.121581,13.842061,9.766511,13.768345,-16.381123,-169.748704,5.841786
0.050000,15.704561,13.605408,10.395693,12.583644,-23.694018,-146.257898,5.952450
0.050000,16.239516,13.449197,10.952989,11.145917,-28.754539,-101.210410,6.044593
0.050000,16.708668,13.353387,11.431824,9.576698,-31.384382,-52.596869,6.117906
0.050000,17.105392,13.298861,11.832277,8.009067,-31.352619,0.635259,6.174573
0.050000,17.429604,13.270598,12.157719,6.508841,-30.004518,26.962019,6.217410
0.050000,17.683849,13.257907,12.412280,5.091216,-28.352516,33.040045,6.248915
0.050000,17.875098,13.253522,12.603580,3.825997,-25.304380,60.962733,6.271456
0.050000,18.012914,13.252990,12.741397,2.756343,-21.393065,78.226293,0.003919
0.050000,18.106467,13.253842,12.834953,1.871127,-17.704336,73.774571,0.014265
0.050000,18.164577,13.254855,12.893072,1.162376,-14.175021,70.586301,0.020582
0.050000,18.195845,13.255552,12.924348,0.625525,-10.737011,68.760205,0.023946
0.050000,18.208730,13.255869,12.937237,0.257779,-7.354920,67.641822,0.025325
0.050000,18.211632,13.255943,12.940140,0.058052,-3.994541,67.207568,0.025635
0.050000,18.211632,13.255943,12.940140,0.000000,-1.161038,56.670060,0.025635
